"<통계표 메타자료>"
"○ 통계표ID","DT_13204_A0300"
"○ 통계표명","죄종별 범죄발생 및 검거현황(전국)"
"○ 수록기간","분기 2021 3/4 ~ 2022 4/4"
"○ 출처","KOSIS(경찰청, 경찰청범죄통계), 2023.06.05 15:31"
"○ 문의처","경찰청 02-3150-1632"
"○ 주석 정보"
"통계표 >"," 발생,검거건수(발생,검거원표), 인원(피의자원표)"
""," "
""," 분기별 통계는 보정이 완료되지 않은 잠정통계로서, 매년 공표되는 「경찰청범죄통계」와 죄종분류가 상이하여 수치가 다를 수 있으며 주기적으로 수정·삭제 정보가 반영되어 산출 시기마다 수치가 상이할 수 있음"

"○ 분류/항목 정보",
"분류코드","분류/항목명","분류값","분류값명","단위","가중치"
"A","구분별","01","총범죄","",""
"A","구분별","02","형법범","",""
"A","구분별","022","강력범","",""
"A","구분별","0221","살인","",""
"A","구분별","0222","강도","",""
"A","구분별","0223","강간·강제추행","",""
"A","구분별","0224","방화","",""
"A","구분별","023","절도범","",""
"A","구분별","024","폭력범","",""
"A","구분별","0241","공갈","",""
"A","구분별","0242","손괴","",""
"A","구분별","0243","상해","",""
"A","구분별","0244","폭행","",""
"A","구분별","0245","체포·감금","",""
"A","구분별","0246","협박","",""
"A","구분별","0247","약취·유인","",""
"A","구분별","0248","폭력행위등","",""
"A","구분별","025","지능범","",""
"A","구분별","0251","사기","",""
"A","구분별","0252","횡령","",""
"A","구분별","0253","배임","",""
"A","구분별","0254","직무유기","",""
"A","구분별","0255","직권남용","",""
"A","구분별","0256","증수뢰","",""
"A","구분별","0257","통화","",""
"A","구분별","0258","유가증권인지","",""
"A","구분별","0259","문서·인장","",""
"A","구분별","026","풍속범","",""
"A","구분별","0261","풍속","",""
"A","구분별","0262","도박","",""
"A","구분별","027","기타형법범","",""
"A","구분별","03","특별법범","",""
"13999001","항목","T001","발생건수","건",""
"13999001","항목","T002","검거건수","건",""
"13999001","항목","T003","발생건수대비검거건수","%",""
"13999001","항목","T004","검거인원","명",""
"13999001","항목","T005","법인체","개",""
