"2017년"," 기소_구공판 구속 "," 기소_구공판 불구속 "," 기소_구약식 "," 소년보호송치 "," 가정보호송치 "," 성매매보호송치 "," 아동보호송치 "," 불기소_기소유예 "," 불기소_혐의없음 "," 불기소_죄가안됨 "," 불기소_공소권없음 "," 기소중지 "," 참고인중지 "," 공소보류 ",
"절도","129","217","856","209"," - "," - "," - ","1666","403","6","39","47","1"," - ",
"불법사용"," - "," - ","3","2"," - "," - "," - ","6","3"," - "," - "," - "," - "," - ",
"침입절도","29","38","4","1"," - "," - "," - ","18","10"," - ","7","1"," - "," - ",
"장물","4","18","16"," - "," - "," - "," - ","34","25"," - "," - ","1"," - "," - ",
"사기","318","1285","831","25"," - "," - "," - ","1754","3473"," - ","282","1028","160"," - ",
"컴퓨터등사용사기"," - ","6","16"," - "," - "," - "," - ","102","32"," - ","2","20"," - "," - ",
"부당이득"," - "," - "," - "," - "," - "," - "," - "," - ","8"," - "," - "," - "," - "," - ",
"편의시설부정이용"," - "," - ","3"," - "," - "," - "," - ","5","9"," - ","1"," - ","1"," - ",
"전기통신금융사기피해금환급에관한특별법"," - ","4","9"," - "," - "," - "," - ","38","10"," - "," - ","11"," - "," - ",
"보험사기방지특별법"," - ","5","27"," - "," - "," - "," - ","16","108"," - "," - ","4","1"," - ",
"횡령","18","118","216","7"," - "," - "," - ","372","577"," - ","30","65","18"," - ",
"배임"," - ","28","7"," - "," - "," - "," - ","3","216","2","10","12","5"," - ",
"배임수재","14","9","2"," - "," - "," - "," - ","2","16"," - "," - ","3"," - "," - ",
"배임증재"," - ","2"," - "," - "," - "," - "," - "," - ","11"," - "," - ","4"," - "," - ",
"손괴","4","39","250","9","28"," - "," - ","454","216","9","24","16"," - "," - ",
"손괴치상"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"손괴치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"살인(기수)","5"," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - ",
"살인(미수,예비,음모,방조)","9","1","1"," - "," - "," - "," - "," - ","2"," - "," - "," - "," - "," - ",
"강도","5","6","2"," - "," - "," - "," - ","1","4"," - "," - ","1","2"," - ",
"강도상해","4"," - "," - "," - "," - "," - "," - ","2","5"," - "," - "," - "," - "," - ",
"강도치상"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"강도강간/강제추행","1"," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - ",
"강도살인"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"강도치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"일반방화","6","10","4","4"," - "," - "," - ","2"," - "," - "," - ","1"," - "," - ",
"방화치상"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ",
"방화치사"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - "," - ",
"강간","28","41","3","1"," - "," - "," - ","3","81"," - ","2","2","1"," - ",
"강제추행","17","155","39","7"," - "," - "," - ","126","158","1","3","3"," - "," - ",
"간음","2"," - "," - "," - "," - "," - "," - "," - ","3"," - "," - "," - "," - "," - ",
"강간등(강간,준강간,간음,강제추행,준강제추행)","2","3"," - "," - "," - "," - "," - ","1","1"," - "," - "," - "," - "," - ",
"강간등상해","3"," - "," - "," - "," - "," - "," - "," - "," - "," - "," - ","1"," - "," - ",
"강간등치상","5","2","1","1"," - "," - "," - ","2","2"," - "," - ","1"," - "," - ",
