범죄분류,불취학,초등학교_재중,초등학교_중퇴,초등학교_졸업,중학교_재중,중학교_중퇴,중학교_졸업,고등학교_재중,고등학교_중퇴,고등학교_졸업,전문대학_재중,전문대학_중퇴,전문대학_졸업,대학교_재중,대학교_중퇴,대학교_졸업,대학원,기타,미상
절도,1105,7,874,2388,850,511,1889,925,727,7004,90,95,1024,587,424,2457,359,297,3656
장물,3,0,6,24,3,10,39,55,19,145,4,1,16,16,3,50,10,3,74
사기,153,0,202,1185,155,386,2049,273,789,10801,41,112,1118,410,609,2808,498,236,26671
횡령,148,0,128,404,30,82,344,204,120,1538,14,12,249,123,88,641,139,56,3542
배임,6,0,4,30,0,3,30,0,5,186,0,2,11,3,6,97,12,3,1157
손괴,124,1,92,290,19,93,334,31,116,1498,13,17,180,51,91,475,85,58,1229
살인,3,0,4,10,0,3,8,4,8,41,0,1,8,0,1,12,1,0,37
강도,0,0,2,3,3,10,10,9,24,39,0,1,6,2,3,5,0,2,26
방화,3,0,6,15,1,7,26,5,12,67,0,1,5,1,3,17,1,5,43
성폭력,2,0,14,21,37,9,31,38,28,166,4,2,30,34,13,68,15,4,313
폭행,379,2,273,1165,595,406,1813,862,829,8286,107,85,980,620,482,2362,458,282,19528
상해,244,2,209,756,274,233,1048,518,435,4157,60,53,502,282,181,1130,167,140,1887
협박,12,0,25,74,42,23,86,36,53,428,3,4,67,12,33,183,30,13,801
공갈,1,0,5,12,60,20,31,49,22,156,0,2,13,6,5,42,8,4,284
약취와유인,1,0,0,2,1,1,4,0,2,16,0,1,2,0,1,7,5,0,43
체포와감금,5,0,1,8,21,5,20,26,25,85,1,1,5,4,9,33,7,2,261
"폭력행위등(손괴,강요,주거침입등)",8,0,7,28,31,13,24,32,6,140,1,0,20,9,9,62,10,1,170
"폭력행위등(단체등의구성,활동)",0,0,0,0,2,1,2,3,1,3,0,0,1,0,0,1,0,0,6
통화,1,0,1,0,1,0,1,0,0,3,0,0,0,0,1,1,2,0,12
유가증권·인지·우표,0,0,1,0,1,0,1,1,0,13,0,0,2,0,1,2,2,0,34
문서,16,1,15,86,13,36,110,409,115,728,11,10,106,70,60,341,55,15,2317
인장,0,0,0,3,1,0,2,0,1,21,0,0,2,0,0,5,1,0,41
직무유기,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,11,1,0,133
직권남용,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,13,0,1,89
수뢰,0,0,0,4,0,1,1,0,0,29,0,1,2,0,0,18,3,0,37
증뢰,0,0,0,1,0,1,2,0,0,5,0,0,1,0,1,4,1,0,21
도박과복표,132,0,108,578,0,88,639,0,99,1385,2,12,56,6,29,97,5,68,678
신앙,0,0,1,3,0,0,6,0,1,9,0,0,0,0,1,4,1,1,65
기타음란행위,1,0,1,0,0,1,3,1,0,19,0,0,2,1,1,9,0,1,16
과실치사상,25,0,13,47,6,4,33,4,5,167,0,0,27,13,15,80,25,9,327
업무상과실치사상,1,0,0,25,0,3,28,1,0,120,1,0,39,7,5,116,21,12,366
실화,34,0,14,61,2,8,34,7,4,110,0,1,13,6,10,44,12,8,37
명예,84,0,60,252,53,51,272,186,106,1276,20,9,203,221,92,637,162,46,4750
권리행사방해,6,0,7,65,1,13,74,8,26,411,0,4,36,2,12,102,22,13,2067
신용업무경매,93,0,65,230,3,71,286,8,74,1162,4,11,133,33,63,412,85,50,1748
주거침입,53,0,34,154,11,28,139,19,41,610,2,2,90,25,46,216,55,21,814
비밀침해,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,2,0,18
유기,0,0,0,4,1,2,5,2,4,27,0,1,23,2,1,29,10,0,62
