범죄분류,생활비마련,유흥비마련,도박비마련,허영사치심,치부,이욕_기타,사행심,신고_고소,수사협조,증언,보복_기타,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
절도,1402,132,9,71,10,4639,368,0,0,0,1,24,416,568,7867,72,1011,5962,2717
장물,22,6,0,0,0,103,7,0,0,0,0,0,15,3,39,1,106,119,60
사기,3928,163,78,43,120,4838,467,1,0,0,0,6,31,98,595,7,1215,10867,26039
횡령,292,7,1,8,13,866,80,0,0,0,0,3,159,63,980,2,248,1729,3411
배임,56,0,0,0,1,86,7,1,0,0,0,0,0,4,6,0,28,229,1137
손괴,2,0,0,0,0,31,2,0,0,0,2,328,11,2,1853,111,136,1281,1038
살인,1,0,0,0,0,2,0,0,0,0,0,17,0,0,44,9,1,37,30
강도,30,7,0,0,0,21,0,0,0,0,0,1,1,1,20,1,1,40,22
방화,0,0,0,0,0,1,0,0,0,0,1,17,5,0,77,12,4,74,27
성폭력,4,1,0,1,0,10,1,0,0,0,0,6,32,6,190,4,29,258,287
폭행,5,4,1,1,6,63,10,1,0,0,2,2759,20,7,11296,294,303,6199,18543
상해,5,1,1,0,2,22,3,1,1,0,6,653,9,5,6313,165,151,3386,1554
협박,1,0,0,0,1,12,0,4,0,0,4,191,0,0,521,24,20,395,752
공갈,49,14,0,1,0,94,8,0,0,0,0,4,3,3,85,4,14,169,272
약취와유인,2,0,0,0,0,1,0,0,0,0,0,15,0,0,6,0,2,21,39
체포와감금,1,0,0,0,0,13,2,1,0,0,0,30,1,0,83,12,8,123,245
"폭력행위등(손괴,강요,주거침입등)",5,0,0,0,0,8,0,0,0,0,0,23,8,5,166,7,15,188,146
"폭력행위등(단체등의구성,활동)",0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,1,3,5
통화,2,0,0,0,1,4,0,0,0,0,0,0,0,1,1,0,0,4,10
유가증권·인지·우표,3,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,15,34
문서,120,2,1,3,3,254,39,0,0,0,0,3,228,22,136,6,189,1254,2254
인장,2,0,0,0,0,5,0,0,0,0,0,0,0,0,7,0,2,23,38
직무유기,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,133
직권남용,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,14,89
수뢰,7,0,0,0,0,10,1,0,0,0,0,0,0,3,1,0,3,36,35
증뢰,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,9,21
도박과복표,69,12,39,1,2,630,1484,0,0,0,0,0,72,24,223,2,53,918,453
신앙,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,18,65
기타음란행위,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,3,4,24,10
과실치사상,0,0,0,0,0,1,0,0,0,0,0,7,0,0,76,1,274,142,299
업무상과실치사상,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,253,117,356
실화,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,280,84,21
명예,3,1,0,0,2,37,6,4,0,0,0,48,15,1,980,107,276,2350,4650
권리행사방해,72,0,2,0,1,133,12,0,0,0,0,5,0,0,25,1,49,535,2034
신용업무경매,18,2,0,0,0,88,6,0,0,0,1,20,3,2,1270,136,81,1311,1593
주거침입,12,0,0,0,0,38,1,0,0,1,0,36,12,6,601,44,79,794,736
비밀침해,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,5,18
유기,1,0,0,0,1,0,0,0,0,0,0,6,0,0,32,1,13,64,55
교통방해,0,0,0,0,0,11,0,0,0,0,0,0,0,0,16,5,9,84,110
공무방해,8,0,0,0,1,85,1,0,0,0,0,5,3,9,748,61,61,709,260
도주와범인은닉,4,0,0,0,0,8,0,0,0,0,0,0,0,1,20,0,23,91,86
위증과증거인멸,3,0,0,0,0,13,0,1,0,1,0,1,0,4,8,0,14,140,941
무고,5,0,0,1,1,29,0,4,0,1,3,9,0,2,26,6,13,298,2052
공안을해하는죄,7,0,0,0,0,13,0,0,0,0,0,0,0,1,1,0,0,8,10
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
기타,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,17,15
가정폭력범죄의처벌등에관한특례법,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,2,0,2
가축분뇨의관리및이용에관한법률,2,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,22,28,26
감염병의예방및관리에관한법률,7,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,39,74,9
개발제한구역의지정및관리에관한특별조치법,17,0,0,0,0,40,3,0,0,0,0,0,0,0,3,5,28,159,158
개인정보보호법,6,0,0,0,0,17,1,0,0,0,0,3,1,1,17,2,51,146,270
건강기능식품에관한법률,97,0,0,0,2,71,0,0,0,0,0,0,0,0,0,0,36,81,128
건설기계관리법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4
건설산업기본법,56,0,0,0,10,126,1,0,0,0,0,0,2,1,12,2,43,412,124
건축법,21,0,0,0,3,126,4,0,0,0,0,1,0,21,10,0,299,815,388
게임산업진흥에관한법률,217,0,0,0,3,202,70,0,0,0,0,2,1,3,11,0,232,649,358
결혼중개업의관리에관한법률,4,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,3,21,16
경범죄처벌법,4,0,0,0,1,7,1,0,0,0,0,5,1,0,199,31,23,251,174
고용보험법,478,0,0,0,0,381,10,0,0,0,0,0,0,11,13,0,134,734,129
공유수면관리및매립에관한법률,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,31,8
공유재산및물품관리법,4,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,17,14
공인중개사법,19,0,0,0,0,38,6,0,0,0,0,0,1,0,1,0,63,204,264
공중위생관리법,91,0,0,0,0,95,0,0,0,0,0,0,1,0,19,0,72,383,335
공직선거법,0,0,0,0,0,2,0,0,0,0,0,0,6,0,17,5,25,72,81
관세법,28,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,207
교통사고처리특례법,0,0,0,0,0,20,1,0,0,0,0,1,19,2,341,1,10502,4668,26346
국가기술자격법,6,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,31,13
국가보안법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,2
국민체육진흥법,17,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,1,6,12
국토의계획및이용에관한법률,7,0,0,0,0,21,0,0,0,0,0,0,0,0,3,0,58,146,149
근로기준법,1,0,0,0,1,90,0,0,0,0,0,0,0,0,2,0,7,381,3945
근로자퇴직급여보장법,0,0,0,0,0,41,0,0,0,0,0,0,0,0,3,0,4,139,1238
낚시관리및육성법,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,13,2
노동조합및노동관계조정법,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,35
농수산물유통및가격안정에관한법률,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2
농수산물의원산지표시에관한법률,27,0,0,0,43,125,2,0,0,0,0,0,0,0,4,0,179,96,983
농지법,5,0,0,0,0,34,0,0,0,0,0,0,0,0,1,0,26,79,145
대기환경보전법,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,36,38,99
대부업등의등록및금융이용자보호에관한법률,71,0,0,0,2,52,5,0,0,0,0,1,0,0,20,0,27,157,109
도로교통법,7,0,0,0,0,6,1,0,0,0,0,0,4,4,57,0,439,367,667
도로교통법(무면허운전),4,0,0,0,0,7,3,0,0,0,0,0,51,17,255,0,1259,1522,715
도로교통법(사고후미조치),0,0,0,0,0,2,0,0,0,0,0,1,6,2,83,0,743,390,3398
도로교통법(음주운전),1,0,0,0,0,38,3,0,0,0,0,26,12,74,1830,3,7996,9212,255
도로교통법(음주측정거부),0,0,0,0,0,1,0,0,0,0,0,1,0,0,25,1,101,122,9
도로법,27,0,0,0,0,12,0,0,0,0,0,0,0,0,3,0,17,61,57
도시및주거환경정비법,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,99,94
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
디자인보호법,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,11,56
마약류관리에관한법률(대마),1,0,0,0,0,4,0,0,0,0,0,0,36,7,20,2,12,63,36
마약류관리에관한법률(마약),0,0,0,0,0,20,2,0,0,0,0,0,38,7,35,0,249,358,30
마약류관리에관한법률(향정),25,0,0,1,0,48,10,0,0,0,0,1,146,217,97,18,40,465,350
물환경보전법,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21,23,30
범죄수익은닉의규제및처벌등에관한법률,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,7,49
변호사법,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,2,22,81
병역법,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,70,66,20
보조금관리에관한법률,5,0,0,0,0,47,2,0,0,0,0,0,0,1,5,0,26,191,95
부동산실권리자명의등기에관한법률,3,0,0,0,0,43,2,0,0,0,0,0,0,0,2,0,30,126,203
부정경쟁방지및영업비밀보호에관한법률,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,21,93
부정수표단속법,5,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,2,44,127
사행행위등규제및처벌특례법,14,0,0,0,0,14,4,0,0,0,0,0,0,0,0,0,0,16,5
산림자원의조성및관리에관한법률,8,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,10,17,53
산업안전보건법,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,5,13,125
산지관리법,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,41,84,191
상표법,361,0,0,1,3,191,11,0,0,0,0,1,0,1,26,0,120,639,455
석유및석유대체연료사업법,5,0,0,0,0,12,0,0,0,0,0,0,0,0,7,0,13,49,66
선박안전법,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6,2
선박직원법,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0
성매매알선등행위의처벌에관한법률,2378,26,4,18,28,1376,97,0,0,0,0,1,36,68,69,1,174,3068,995
수도법,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,8,16
수산업법,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,18,14
수산자원관리법,33,0,0,0,0,11,0,0,0,0,0,0,2,0,0,0,6,62,79
식품위생법,899,2,0,0,1,713,57,0,0,0,0,4,1,8,46,0,618,2318,1770
신용정보의이용및보호에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,15,3
"아동,청소년의성보호에관한법률(성매수등)",54,29,0,0,0,15,5,0,0,0,0,0,0,1,3,1,2,43,17
"아동,청소년의성보호에관한법률(음란물등)",0,0,0,0,0,2,0,0,0,0,0,0,1,0,5,0,0,4,0
아동복지법,6,0,0,0,0,4,0,0,0,0,0,322,0,2,517,43,210,725,459
액화석유가스의안전관리및사업법,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,7,2
약사법,25,0,0,0,0,43,1,0,0,0,0,0,0,0,18,0,81,226,225
여객자동차운수사업법,28,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,11,50,92
여신전문금융업법,47,0,0,2,0,85,1,0,0,0,0,0,3,7,46,0,25,146,157
영유아보육법,8,0,0,0,0,51,4,0,0,0,0,0,0,8,4,0,32,179,76
예비군법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3
옥외광고물등의관리와옥외광고산업진흥에관한법률,6,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,4,36,23
외국환거래법,33,0,0,0,0,9,0,0,0,0,0,0,7,0,1,0,2,23,165
위험물안전관리법,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,15,54
유사수신행위의규제에관한법률,91,0,0,0,1,95,7,0,0,0,0,1,0,0,2,0,17,223,267
의료기기법,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,14,54,55
의료법,343,1,1,0,2,296,12,0,0,0,0,0,49,5,24,0,265,1114,424
자동차관리법,42,0,0,0,0,42,7,1,0,0,0,1,5,1,21,1,310,943,1285
자동차손해배상보장법,9,0,0,0,0,38,0,0,0,0,0,0,0,3,78,0,746,959,3254
자본시장과금융투자업에관한법률,5,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,22,40
저작권법,25,3,0,0,0,56,2,0,0,0,0,0,41,0,17,0,203,367,1457
전자금융거래법,768,2,1,5,11,872,61,0,0,0,0,1,4,27,61,0,760,2206,1316
전파법,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,3,25
정보통신망이용촉진및정보보호등에관한법률,37,0,0,1,7,66,11,0,0,0,2,39,29,23,431,65,111,1074,1888
조세범처벌법,11,0,0,0,5,47,2,0,0,0,0,0,0,0,5,0,23,95,413
주민등록법,8,0,0,0,0,45,25,0,0,0,0,1,120,13,84,2,65,400,140
주차장법,3,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,34,54,53
