범죄분류,생활정도_하류,생활정도_중류,생활정도_상류,생활정도_미상,혼인관계_유배우자,혼인관계_동거,혼인관계_이혼,혼인관계_사별,혼인관계_미상,미혼자부모관계_실(양)부모,미혼자부모관계_계부모,미혼자부모관계_실부계모,미혼자부모관계_실부무모,미혼자부모관계_실모계부,미혼자부모관계_실모무부,미혼자부모관계_계부무모,미혼자부모관계_계모무부,미혼자부모관계_무부모,미혼자부모관계_미상
절도,14701,7670,205,2693,9092,487,2794,2466,2714,5590,27,58,369,65,891,5,11,669,31
장물,259,159,4,59,192,3,25,26,59,141,0,2,8,2,16,0,0,6,1
사기,16057,6276,145,26018,9999,551,4290,952,26045,4782,26,55,342,56,848,7,8,491,44
횡령,2642,1750,64,3406,2068,78,569,406,3410,1008,3,7,69,9,155,0,0,72,8
배임,219,184,11,1141,283,6,50,31,1137,35,0,0,2,0,7,0,0,4,0
손괴,2424,1285,52,1036,1507,176,693,324,1037,702,1,8,43,9,142,2,1,140,12
살인,86,23,2,30,56,5,15,8,30,20,0,0,0,0,6,0,0,1,0
강도,93,29,1,22,20,5,11,3,22,67,0,1,6,2,4,0,0,4,0
방화,151,39,1,27,59,18,37,11,28,31,3,4,4,3,11,0,0,9,0
성폭력,288,250,4,287,143,15,57,13,285,246,0,3,16,5,34,0,0,11,1
폭행,12244,8500,213,18557,8620,924,2399,970,18597,6152,24,39,404,45,855,4,6,438,37
상해,6510,4129,102,1537,4451,339,1432,647,1540,2890,20,10,197,29,436,2,4,262,19
협박,672,490,9,754,558,63,144,60,753,235,5,1,17,3,57,0,2,25,2
공갈,279,166,3,272,123,16,58,15,273,157,1,1,22,4,40,0,1,7,2
약취와유인,27,17,3,39,29,1,6,3,38,7,0,0,1,0,1,0,0,0,0
체포와감금,148,117,11,243,118,9,20,8,243,99,0,4,6,2,6,0,1,3,0
"폭력행위등(손괴,강요,주거침입등)",233,187,5,146,218,11,22,23,146,103,0,0,17,1,18,1,0,10,1
"폭력행위등(단체등의구성,활동)",11,3,1,5,2,1,0,0,5,11,0,0,0,0,1,0,0,0,0
통화,7,6,0,10,4,0,1,1,10,4,0,0,0,0,0,0,0,3,0
유가증권·인지·우표,20,4,0,34,5,0,8,8,33,1,0,0,2,0,1,0,0,0,0
문서,1266,959,31,2258,815,33,275,201,2258,717,4,6,54,10,96,0,0,38,7
인장,23,15,2,37,19,0,5,3,38,7,0,0,1,1,0,1,0,2,0
직무유기,3,12,0,134,7,2,0,1,134,4,0,0,0,0,1,0,0,0,0
직권남용,2,13,1,91,13,0,1,1,92,0,0,0,0,0,0,0,0,0,0
수뢰,21,37,3,35,55,0,2,1,34,4,0,0,0,0,0,0,0,0,0
증뢰,4,10,2,21,12,0,1,4,20,0,0,0,0,0,0,0,0,0,0
도박과복표,2568,951,9,454,1909,94,818,405,453,188,0,0,6,0,39,1,0,69,0
신앙,14,12,0,66,19,0,1,2,65,3,0,0,0,0,1,0,0,1,0
기타음란행위,31,15,0,10,14,1,9,2,10,11,0,1,2,0,4,0,0,2,0
과실치사상,283,206,10,301,235,11,39,67,301,112,2,1,7,1,16,0,0,8,0
업무상과실치사상,160,209,22,354,262,5,21,22,354,68,0,0,2,0,8,0,0,3,0
실화,239,143,2,21,170,8,38,84,21,70,0,0,2,0,3,0,0,8,1
명예,1887,1890,57,4646,1730,65,393,259,4647,1092,6,5,54,8,148,2,3,56,12
권리행사방해,612,214,9,2034,397,17,217,52,2035,95,0,1,10,2,29,0,0,13,1
신용업무경매,1791,1099,47,1594,1432,86,481,230,1597,474,3,2,24,3,84,1,1,106,7
주거침입,1016,585,23,736,697,48,317,158,739,265,3,3,15,3,50,0,1,59,2
비밀침해,3,4,0,18,3,0,2,1,18,1,0,0,0,0,0,0,0,0,0
유기,63,50,2,58,55,5,14,7,56,28,1,1,1,1,3,0,0,1,0
교통방해,63,61,1,110,73,1,16,19,110,10,0,0,0,0,3,0,0,3,0
공무방해,1080,596,15,260,738,63,300,55,255,377,5,4,27,3,62,0,1,58,3
도주와범인은닉,91,48,1,93,55,7,22,6,90,43,0,0,3,0,4,0,0,2,1
위증과증거인멸,93,77,8,948,99,10,23,18,944,22,0,0,0,0,4,0,0,3,3
무고,209,149,5,2087,145,13,67,33,2079,73,2,1,6,2,5,0,0,13,11
공안을해하는죄,16,11,3,10,9,3,0,0,9,18,0,0,0,0,1,0,0,0,0
내란의죄,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
기타,8,12,1,15,12,1,2,0,15,5,0,0,0,0,0,0,0,1,0
가정폭력범죄의처벌등에관한특례법,4,2,0,2,2,0,2,0,2,1,0,0,0,0,1,0,0,0,0
가축분뇨의관리및이용에관한법률,28,25,3,28,34,0,11,11,25,2,0,0,0,0,0,0,0,0,1
감염병의예방및관리에관한법률,76,59,3,9,51,1,20,4,9,50,0,0,8,0,2,0,0,2,0
개발제한구역의지정및관리에관한특별조치법,101,140,9,163,188,5,18,30,159,6,0,0,0,0,1,0,0,6,0
개인정보보호법,84,156,5,270,145,5,29,9,269,46,1,0,2,0,4,0,0,5,0
건강기능식품에관한법률,88,191,5,131,214,4,31,7,131,23,0,0,2,0,2,0,0,1,0
건설기계관리법,7,8,3,4,11,0,2,2,4,1,0,0,0,0,0,0,0,2,0
건설산업기본법,152,502,11,124,557,1,47,28,124,25,0,1,0,0,4,0,0,2,0
건축법,418,800,81,389,987,13,101,147,386,34,0,0,2,0,10,0,0,8,0
게임산업진흥에관한법률,818,567,9,354,703,40,244,53,356,259,1,2,19,2,51,0,1,16,1
결혼중개업의관리에관한법률,14,22,0,15,25,2,6,3,15,0,0,0,0,0,0,0,0,0,0
경범죄처벌법,399,124,0,174,163,14,123,31,174,113,0,1,8,0,32,0,0,36,2
고용보험법,1165,595,2,128,1293,9,156,79,129,164,12,3,8,0,20,0,0,17,0
공유수면관리및매립에관한법률,25,17,1,8,21,1,10,6,8,3,0,0,0,0,0,0,0,2,0
공유재산및물품관리법,17,10,1,14,21,0,5,2,14,0,0,0,0,0,0,0,0,0,0
공인중개사법,130,198,3,265,227,13,57,6,265,19,0,0,1,0,5,0,0,3,0
공중위생관리법,339,306,16,335,349,21,80,29,331,151,2,0,4,0,19,0,1,5,4
공직선거법,65,56,5,82,76,2,19,11,82,13,0,0,0,0,4,0,0,1,0
관세법,12,22,0,209,30,0,9,1,199,1,0,0,0,0,0,0,0,0,3
교통사고처리특례법,7652,7685,175,26389,11062,230,999,507,26446,2297,12,3,52,6,186,0,1,78,22
국가기술자격법,20,26,0,12,34,0,0,0,12,10,0,0,0,0,2,0,0,0,0
국가보안법,8,4,0,2,9,1,0,0,2,1,0,0,0,0,0,0,0,1,0
국민체육진흥법,24,9,2,12,7,4,2,0,12,18,0,0,0,0,3,0,0,1,0
국토의계획및이용에관한법률,68,152,14,150,171,3,22,20,150,12,0,0,0,0,0,0,0,6,0
근로기준법,525,406,18,3478,814,7,178,53,3264,37,1,0,2,0,3,0,0,2,66
근로자퇴직급여보장법,178,120,6,1121,262,4,54,29,1049,4,0,0,2,0,0,0,0,2,19
낚시관리및육성법,14,8,0,2,18,0,1,3,2,0,0,0,0,0,0,0,0,0,0
노동조합및노동관계조정법,3,7,1,34,6,0,2,2,34,1,0,0,0,0,0,0,0,0,0
농수산물유통및가격안정에관한법률,1,6,0,2,1,0,2,2,2,2,0,0,0,0,0,0,0,0,0
농수산물의원산지표시에관한법률,153,386,12,908,457,8,58,42,867,13,0,0,0,0,4,0,0,0,10
농지법,47,77,6,160,106,2,10,24,148,0,0,0,0,0,0,0,0,0,0
대기환경보전법,18,53,13,96,67,2,5,5,94,6,0,0,0,0,1,0,0,0,0
대부업등의등록및금융이용자보호에관한법률,215,114,6,109,214,4,42,10,106,54,0,0,2,0,7,0,0,5,0
도로교통법,468,401,14,669,465,19,105,42,669,202,1,0,7,0,23,1,0,17,1
도로교통법(무면허운전),1958,1143,19,713,1600,26,502,200,716,625,7,0,37,6,76,0,1,33,4
도로교통법(사고후미조치),630,583,12,3400,777,15,131,38,3406,210,3,1,11,0,21,0,1,11,0
도로교통법(음주운전),11002,8057,136,255,10455,218,2591,378,256,4617,23,12,159,11,522,1,16,173,18
도로교통법(음주측정거부),138,110,3,9,142,2,35,10,9,43,0,1,1,0,9,0,1,6,1
도로법,93,28,0,56,88,0,11,15,55,5,0,0,0,0,1,0,0,2,0
