범죄분류,14세 미만,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26_30세,31_35세,36_40세,41_45세,46_50세,51_55세,56_60세,61_70세,71세 이상,미상
절도,2,621,604,624,421,347,354,423,431,379,346,362,361,1485,1582,1697,1876,2346,2543,2775,3415,2251,24
장물,0,1,1,16,46,26,8,11,6,3,8,3,8,34,29,34,37,52,43,63,38,13,1
사기,6,106,171,213,307,330,497,717,666,706,607,693,692,3072,4072,4921,5378,6521,6828,6010,4468,875,640
횡령,0,31,33,105,132,104,81,73,74,85,80,68,66,432,535,655,825,1031,1046,914,975,376,141
배임,0,0,0,0,0,0,1,3,1,1,6,5,8,46,81,141,139,207,271,252,253,70,70
손괴,0,12,12,15,23,36,46,58,50,62,60,60,65,312,396,429,495,673,689,585,441,267,11
살인,0,0,0,0,5,2,1,0,1,0,1,4,2,16,20,11,17,15,15,12,9,8,2
강도,0,4,9,20,12,9,5,4,1,3,1,1,0,10,13,11,7,10,7,7,7,1,3
방화,0,1,3,2,6,1,3,1,1,0,2,3,3,16,18,21,26,29,33,22,19,7,1
성폭력,0,23,28,31,31,23,25,20,25,25,24,23,19,73,80,75,66,72,76,43,35,4,8
폭행,0,389,545,558,545,758,927,1026,1104,1031,973,994,892,3437,3565,3645,3964,4179,4001,3268,2628,1038,47
상해,0,171,282,274,292,221,232,232,236,237,220,220,211,845,973,1007,1179,1378,1387,1188,1041,424,28
협박,2,31,28,30,31,23,26,14,17,15,19,15,26,133,186,224,218,273,220,211,125,45,13
공갈,0,47,51,31,24,14,18,18,13,17,7,10,9,47,60,45,55,63,77,48,42,15,9
약취와유인,0,1,0,2,0,1,2,0,0,0,0,0,3,8,12,14,8,5,5,8,13,2,2
체포와감금,0,12,17,19,24,11,9,6,10,7,16,7,7,22,31,47,37,60,67,50,28,13,19
"폭력행위등(손괴,강요,주거침입등)",0,16,31,8,15,10,8,7,7,11,5,4,10,18,25,46,40,82,64,69,58,34,3
"폭력행위등(단체등의구성,활동)",0,2,2,4,2,0,0,0,0,2,1,0,0,1,0,0,1,2,1,2,0,0,0
통화,0,1,0,0,1,0,1,1,0,1,0,0,1,2,0,2,0,1,4,1,4,1,2
유가증권·인지·우표,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,3,5,6,17,9,10,1,2
