범죄분류,전과없음,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,미상
절도,13416,3450,1689,998,668,484,327,237,189,1192,2619
장물,287,67,20,23,11,7,4,0,1,4,57
사기,11067,3661,2150,1375,956,653,504,373,304,1853,25600
횡령,3060,678,297,147,104,55,54,22,14,90,3341
배임,258,73,48,15,19,11,6,3,1,9,1112
손괴,1834,711,351,220,161,116,83,75,41,193,1012
살인,78,17,6,3,1,0,3,0,0,3,30
강도,62,12,20,6,2,4,4,2,1,10,22
방화,84,38,23,10,10,8,2,3,2,11,27
성폭력,351,87,44,23,14,6,6,2,3,15,278
폭행,12246,3564,1898,1086,665,495,283,191,138,716,18232
상해,5983,1876,1044,588,337,221,170,112,95,338,1514
협박,673,195,114,74,26,22,20,8,12,39,742
공갈,255,90,33,18,9,11,11,2,2,22,267
약취와유인,32,7,7,2,0,0,0,0,0,0,38
체포와감금,180,41,22,12,10,4,3,3,1,4,239
"폭력행위등(손괴,강요,주거침입등)",288,49,32,14,10,7,10,5,2,13,141
"폭력행위등(단체등의구성,활동)",6,2,2,1,1,1,1,0,0,1,5
통화,9,1,2,1,0,0,0,1,0,0,9
유가증권·인지·우표,7,3,1,1,3,1,0,2,0,6,34
문서,1464,296,167,80,65,47,32,21,13,106,2223
인장,25,1,5,1,2,0,1,0,0,6,36
직무유기,18,1,0,0,0,0,0,0,0,0,130
직권남용,14,1,2,0,0,0,0,0,0,0,90
수뢰,43,14,3,0,1,0,0,0,0,0,35
증뢰,9,2,2,3,0,0,0,1,0,1,19
도박과복표,1114,633,547,363,283,164,107,97,59,170,445
신앙,13,12,0,0,0,0,1,0,0,1,65
기타음란행위,26,5,1,1,4,2,1,1,0,5,10
과실치사상,350,67,31,17,14,9,3,2,2,15,290
업무상과실치사상,310,44,23,16,6,0,1,0,1,4,340
실화,275,61,21,10,6,3,1,1,2,4,21
명예,2549,564,266,160,95,63,54,32,17,110,4570
권리행사방해,454,147,95,57,31,20,17,15,6,27,2000
신용업무경매,1344,487,288,204,132,92,75,64,48,220,1577
주거침입,867,260,154,103,65,47,30,25,16,77,716
비밀침해,6,0,1,0,0,0,0,0,0,0,18
유기,86,17,4,6,1,0,1,1,0,1,56
교통방해,62,25,13,12,1,6,1,1,0,6,108
공무방해,863,274,160,109,72,52,45,13,21,86,256
도주와범인은닉,84,28,13,7,2,2,1,1,1,7,87
위증과증거인멸,118,34,21,5,10,6,2,3,3,8,916
무고,247,83,28,21,12,8,5,4,3,11,2028
공안을해하는죄,10,12,6,1,0,0,1,0,0,1,9
내란의죄,0,0,0,0,0,0,0,0,0,0,3
기타,16,4,0,1,0,0,0,0,0,0,15
가정폭력범죄의처벌등에관한특례법,2,0,1,0,0,1,1,1,0,0,2
가축분뇨의관리및이용에관한법률,22,15,2,7,1,5,4,0,0,3,25
감염병의예방및관리에관한법률,75,19,21,10,3,3,0,2,2,3,9
개발제한구역의지정및관리에관한특별조치법,142,44,19,14,8,9,2,4,1,11,159
개인정보보호법,183,37,12,4,5,2,1,0,1,3,267
건강기능식품에관한법률,197,56,17,5,7,2,1,0,3,0,127
건설기계관리법,8,5,2,2,0,0,0,0,0,1,4
건설산업기본법,452,109,39,30,15,5,5,5,1,5,123
건축법,878,233,96,37,18,14,8,5,7,15,377
게임산업진흥에관한법률,847,253,134,64,33,23,10,11,3,17,353
결혼중개업의관리에관한법률,21,8,5,0,1,0,1,0,0,0,15
경범죄처벌법,191,88,61,40,32,18,15,10,18,53,171
고용보험법,1505,164,50,25,7,4,1,1,4,1,128
공유수면관리및매립에관한법률,11,10,4,1,4,0,5,0,0,8,8
공유재산및물품관리법,11,7,2,5,0,0,0,1,0,2,14
공인중개사법,218,54,20,14,8,2,0,6,3,8,263
공중위생관리법,437,142,54,26,9,4,0,0,0,5,319
공직선거법,91,16,9,5,3,2,0,0,2,1,79
관세법,46,5,8,1,2,0,1,0,0,0,180
교통사고처리특례법,11593,2316,941,415,221,141,78,37,32,122,26005
국가기술자격법,41,4,0,1,1,0,0,0,0,0,11
국가보안법,6,3,2,1,0,0,0,0,0,0,2
국민체육진흥법,23,6,3,1,1,1,0,0,0,0,12
국토의계획및이용에관한법률,141,45,21,11,7,2,4,3,0,2,148
근로기준법,437,212,136,73,64,36,24,22,14,79,3330
근로자퇴직급여보장법,159,73,52,27,12,10,7,8,1,17,1059
낚시관리및육성법,11,2,0,1,1,3,1,2,0,1,2
노동조합및노동관계조정법,7,2,2,0,1,1,0,0,0,1,31
농수산물유통및가격안정에관한법률,4,1,0,2,0,0,0,0,0,0,2
농수산물의원산지표시에관한법률,331,113,42,18,13,6,5,1,1,6,923
농지법,95,29,11,6,6,0,1,2,0,1,139
대기환경보전법,47,19,7,7,2,2,0,1,0,0,95
대부업등의등록및금융이용자보호에관한법률,178,67,33,14,12,15,3,2,4,12,104
도로교통법,508,174,78,50,22,12,13,4,5,24,662
도로교통법(무면허운전),943,722,518,306,183,141,97,64,31,123,705
도로교통법(사고후미조치),739,231,124,57,30,32,13,7,9,19,3364
도로교통법(음주운전),11103,4080,1833,916,485,303,168,106,62,144,250
도로교통법(음주측정거부),81,52,42,30,15,6,9,6,2,8,9
도로법,46,30,16,9,3,5,7,3,0,4,54
도시및주거환경정비법,87,32,5,6,2,2,1,0,1,1,92
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,1
