범죄분류,농림수산업,광업,제조업,건설업,도소매업,무역업,요식업,숙박업,유흥업,금융업,부동산업,의료보건업,차량정비업,노점,행상,기타사업,교원(사립),사무원,기술자,점원,공원,운전자,경비원,외판원,국공영기업체직원,일반회사원,금융기관직원,유흥업종사자,요식업종사자,일용노동자,기타피고용자,의사,변호사,교수,종교가,언론인,예술인,기타전문직,공무원,학생,주부,무직자,미상
절도,170,0,10,13,39,5,149,14,79,6,62,20,2,42,9,1173,19,53,23,81,46,27,1,84,3,1711,13,83,409,264,1938,7,0,2,48,2,57,843,44,2754,2981,9853,2130
장물,0,0,0,1,14,0,2,0,1,2,1,0,0,3,0,129,0,1,1,4,0,0,1,2,1,32,0,0,1,1,28,0,0,0,0,0,0,13,1,81,20,83,58
사기,240,1,106,195,213,43,602,68,275,34,584,43,5,47,7,4895,31,139,42,234,50,36,0,253,5,3630,20,307,852,430,3881,55,5,12,341,12,119,2184,133,1381,3919,13681,9386
횡령,40,0,18,22,25,5,74,19,18,3,56,14,0,10,0,806,7,47,15,46,10,10,1,30,3,650,13,20,138,76,714,11,7,12,29,2,31,286,53,429,696,2068,1348
배임,16,0,6,7,8,0,16,1,3,5,25,0,0,1,0,202,3,9,4,0,0,4,0,6,0,122,5,1,16,7,105,1,2,4,5,0,0,47,10,3,152,316,443
손괴,98,0,5,18,8,1,65,8,29,0,34,3,0,11,1,458,5,12,8,11,3,7,2,13,0,368,2,21,66,38,276,5,0,1,21,1,19,219,14,143,644,1717,442
살인,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,0,1,0,7,0,0,1,0,8,0,0,0,0,0,0,4,0,6,22,75,6
강도,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,5,0,1,2,1,14,0,0,0,0,0,0,3,1,19,10,68,10
방화,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,8,0,0,3,0,5,0,0,0,2,0,0,4,0,8,21,124,20
성폭력,4,0,2,1,1,0,12,2,14,0,2,0,0,0,0,49,6,8,3,8,0,1,0,6,0,65,0,14,8,4,55,0,0,0,6,0,7,40,2,142,62,235,70
폭행,249,0,37,32,81,13,564,61,486,11,198,28,0,135,3,4116,34,138,67,135,49,71,6,178,0,4022,25,300,538,198,2728,15,2,8,138,6,174,1855,95,3391,4972,11508,2847
상해,221,0,9,11,26,4,213,21,166,0,79,16,0,57,1,1225,13,34,20,50,18,21,0,38,1,1072,5,144,153,93,913,10,0,2,62,0,37,593,28,1263,1493,3460,706
협박,21,0,2,6,7,0,20,1,10,1,14,0,0,3,0,193,4,8,1,9,1,5,0,11,0,174,2,5,25,7,106,3,4,2,17,0,7,95,8,142,261,579,171
공갈,2,0,0,3,1,0,10,1,7,0,3,0,0,4,0,62,1,1,0,3,0,2,0,4,0,45,0,12,4,6,30,0,0,0,6,2,1,19,2,141,34,221,93
약취와유인,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,1,1,3,0,0,0,0,0,0,5,1,1,10,36,9
체포와감금,3,0,0,0,3,0,3,3,4,0,6,3,0,0,0,48,0,1,0,1,0,0,2,2,0,38,0,6,1,0,29,5,1,2,4,0,1,23,4,59,64,138,65
"폭력행위등(손괴,강요,주거침입등)",7,0,1,1,2,0,2,4,0,0,1,0,0,4,0,35,6,0,2,0,3,0,0,0,0,57,1,3,3,3,34,1,0,2,12,1,2,12,1,74,95,149,53
"폭력행위등(단체등의구성,활동)",0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,3,1
통화,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,3,1,3,4
유가증권·인지·우표,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,4,0,0,0,0,3,0,0,0,2,0,0,1,0,2,2,18,13
문서,32,0,8,19,17,1,34,7,10,5,75,3,0,3,1,397,7,20,4,14,7,2,0,16,1,322,22,14,41,25,276,11,4,9,21,1,5,204,103,559,359,1025,830
인장,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,0,0,1,0,4,0,2,0,0,6,0,0,0,2,0,0,4,0,1,4,21,21
직무유기,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,98,0,0,0,41
직권남용,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,9,54,0,2,0,31
수뢰,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,8,1,0,0,0,5,2,0,0,0,1,0,6,12,0,21,9,16
증뢰,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,20
도박과복표,37,0,2,2,4,1,108,8,49,1,8,1,0,4,0,332,0,2,0,4,3,14,0,9,0,121,0,13,120,48,261,0,0,0,13,0,0,43,1,8,783,1748,234
신앙,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,3,0,1,1,0,9,1,0,0,2,0,1,4,3,0,31,23,8
기타음란행위,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,6,0,2,2,0,3,0,0,0,0,0,1,2,0,2,3,21,9
과실치사상,13,0,0,0,4,0,13,4,10,0,2,0,1,3,0,93,1,1,0,3,0,1,0,3,0,79,1,5,13,8,55,3,0,0,5,0,5,43,6,35,97,214,79
업무상과실치사상,3,0,1,7,1,0,15,2,2,0,3,17,0,2,0,127,3,1,2,1,0,1,0,2,4,48,0,0,6,7,54,69,0,1,1,0,0,211,11,7,12,37,87
실화,29,0,0,0,0,0,11,0,3,0,5,0,0,0,0,39,0,0,1,1,0,0,0,3,0,29,0,1,3,3,31,1,0,0,6,0,0,11,3,16,45,132,32
명예,129,0,8,9,40,2,87,12,31,1,49,14,0,35,2,762,23,35,10,32,6,18,4,23,1,627,10,14,63,26,503,61,2,20,37,31,58,409,74,899,1070,1881,1362
권리행사방해,28,0,12,8,11,0,48,8,15,1,27,2,0,3,1,224,4,9,4,24,1,1,1,14,2,173,1,2,66,47,300,5,0,5,12,0,5,101,10,18,299,859,518
신용업무경매,67,0,9,20,17,1,75,5,33,0,35,3,0,24,1,563,9,17,4,13,1,5,1,17,1,332,5,10,41,36,249,11,1,12,45,7,16,165,13,54,583,1498,532
주거침입,25,0,2,13,11,0,21,13,11,1,46,5,0,10,0,193,2,2,1,5,1,6,0,13,0,153,2,9,27,31,145,1,1,2,21,1,4,117,15,74,320,837,219
비밀침해,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0,0,0,0,4,2,0,5,2,3
유기,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,16,2,0,0,0,2,0,0,0,0,7,0,1,4,0,9,0,0,0,0,0,0,42,8,7,10,40,22
교통방해,22,0,0,2,0,0,0,2,0,0,2,0,0,1,0,30,1,1,0,0,0,0,1,0,0,8,1,0,4,2,4,0,0,0,6,0,0,3,4,3,36,70,32
공무방해,16,0,3,4,4,1,16,1,9,0,8,0,0,8,0,200,2,14,2,9,4,0,0,5,0,139,2,10,20,12,118,2,1,2,16,2,3,150,11,62,173,697,225
도주와범인은닉,2,0,0,1,2,0,1,1,1,0,0,0,0,0,0,33,0,1,1,0,0,2,0,0,0,30,0,1,5,4,27,0,0,0,1,0,0,6,3,4,25,52,30
위증과증거인멸,11,0,3,3,4,0,17,3,6,1,19,2,0,2,0,111,4,4,0,3,0,0,0,2,0,60,4,5,13,9,65,3,1,2,5,0,2,47,18,13,117,275,292
무고,19,0,6,3,5,3,33,6,15,0,16,7,0,11,0,206,4,7,3,8,0,3,0,9,0,140,3,17,23,7,129,9,3,3,8,2,7,87,31,104,204,649,660
공안을해하는죄,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,19,13
내란의죄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
기타,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,8,0,0,0,0,0,5,1,0,0,8,4
가정폭력범죄의처벌등에관한특례법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3,0
가축분뇨의관리및이용에관한법률,42,0,3,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,25
감염병의예방및관리에관한법률,0,0,0,0,0,0,0,0,20,0,0,1,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,32,0,0,12,3,0,1,0,0,0,2,0,1,0,24,16
개발제한구역의지정및관리에관한특별조치법,29,0,1,0,4,0,29,0,0,0,2,0,0,1,0,79,0,0,0,0,0,0,0,0,0,24,0,0,3,3,8,0,0,2,3,0,0,5,5,0,54,83,78
개인정보보호법,2,0,0,1,2,0,2,0,2,0,18,2,0,0,0,61,6,5,0,1,0,1,0,0,0,78,3,1,1,0,37,7,0,2,2,0,3,40,32,6,44,58,98
건강기능식품에관한법률,0,0,1,0,63,0,2,0,0,0,0,0,0,1,0,103,0,1,0,0,0,0,0,5,0,18,0,0,1,1,21,1,0,0,3,0,0,36,0,2,62,29,65
건설기계관리법,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2
건설산업기본법,1,0,1,158,1,0,3,0,1,0,23,0,0,0,0,68,0,0,6,2,0,2,0,0,0,48,0,0,0,1,12,1,0,0,0,0,0,9,3,0,181,164,104
건축법,61,0,9,42,13,0,66,21,5,0,31,2,0,3,0,266,5,4,0,1,2,0,0,2,0,105,1,0,9,8,33,2,0,0,17,0,6,36,4,4,395,299,236
게임산업진흥에관한법률,0,0,0,0,11,0,15,0,49,0,3,0,0,5,0,577,0,0,0,8,0,1,0,2,0,44,0,28,6,4,384,0,0,0,2,0,0,11,0,66,90,211,231
결혼중개업의관리에관한법률,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,2,0,0,8,3,15
경범죄처벌법,3,0,2,2,0,0,5,1,7,0,3,0,0,1,0,68,1,0,0,2,2,0,0,3,0,38,0,4,7,6,42,0,0,1,7,0,2,21,1,18,68,292,90
고용보험법,10,0,7,5,1,0,7,2,2,0,2,3,0,0,0,76,1,12,4,8,13,2,0,7,0,375,1,0,37,53,225,0,0,0,0,0,2,71,1,3,237,543,180
공유수면관리및매립에관한법률,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,7,1
공유재산및물품관리법,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,16,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,4,6,3
공인중개사법,1,0,0,2,1,0,0,0,0,0,254,1,0,0,0,52,0,3,0,0,0,0,0,7,0,17,0,0,0,1,47,0,0,0,1,0,0,18,0,0,23,85,83
공중위생관리법,3,0,0,1,5,1,1,77,3,0,1,1,0,0,0,292,0,1,8,1,0,0,0,2,0,45,0,0,1,1,55,1,0,0,0,0,6,52,0,7,59,103,269
공직선거법,3,0,0,1,0,0,0,0,2,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,10,0,0,2,2,10,0,0,0,2,1,5,16,18,2,24,40,62
관세법,0,0,0,0,4,7,1,0,0,0,0,1,0,0,8,23,0,0,0,0,0,0,0,0,0,9,0,0,0,2,3,0,0,0,0,0,0,0,1,3,11,21,149
교통사고처리특례법,608,1,26,27,83,4,399,19,34,20,201,59,0,33,0,3863,214,187,75,33,13,705,0,152,6,8390,52,11,361,165,3399,75,9,68,140,10,143,3564,826,652,10303,4236,2735
국가기술자격법,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,5,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,4,1,1,9,8,16
국가보안법,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,8,1
국민체육진흥법,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,4,0,0,0,0,3,0,0,0,0,0,0,2,0,1,3,18,9
국토의계획및이용에관한법률,29,0,3,5,1,0,3,2,0,0,4,0,0,1,0,61,1,0,0,1,0,0,0,0,0,18,0,0,1,1,9,0,0,2,6,0,0,15,5,0,66,60,90
근로기준법,7,0,143,75,72,1,251,8,19,0,9,10,1,0,0,1035,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,7,7,0,2,33,2739
근로자퇴직급여보장법,0,0,53,12,17,0,92,0,4,0,0,6,0,0,0,342,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,5,890
낚시관리및육성법,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8
노동조합및노동관계조정법,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,31
농수산물유통및가격안정에관한법률,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
농수산물의원산지표시에관한법률,12,0,16,0,29,0,414,0,0,0,0,0,0,8,0,296,0,0,0,0,0,0,0,2,0,9,0,0,6,0,12,0,0,0,0,0,0,3,0,0,0,6,646
농지법,18,0,4,1,3,0,5,2,0,0,0,0,0,0,0,43,1,0,0,0,0,0,0,0,0,11,0,0,1,0,4,2,0,0,7,0,1,8,0,0,35,52,92
대기환경보전법,4,1,22,6,0,0,0,0,0,0,1,0,0,0,0,53,0,0,1,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,3,1,0,10,6,63
대부업등의등록및금융이용자보호에관한법률,0,0,0,0,1,0,4,0,2,21,1,0,0,1,0,54,0,1,0,0,0,1,0,0,0,38,3,1,9,0,40,0,0,0,1,0,0,27,0,4,36,112,87
도로교통법,35,0,2,3,4,0,20,3,1,0,10,3,0,6,0,148,4,5,2,2,0,13,0,7,0,299,0,2,14,14,131,4,0,2,7,3,7,101,19,36,256,228,161
도로교통법(무면허운전),141,0,4,10,9,1,84,2,10,1,13,4,0,2,1,500,1,8,4,11,2,7,0,39,0,623,0,6,71,50,376,1,0,0,11,2,32,223,8,160,546,670,200
도로교통법(사고후미조치),70,0,7,5,15,1,75,3,10,3,24,2,0,3,0,477,10,16,13,9,3,40,0,23,1,808,5,2,52,30,428,8,1,5,16,1,15,324,80,80,1216,546,198
도로교통법(음주운전),109,0,10,20,64,5,349,11,58,7,125,12,1,13,1,2332,14,105,46,53,13,41,2,139,1,4981,29,21,296,151,1861,17,0,2,15,4,95,1723,111,251,2960,2514,888
도로교통법(음주측정거부),2,0,0,0,3,0,4,0,3,0,3,0,1,0,0,37,0,1,2,0,0,0,0,4,0,50,0,2,4,4,22,0,0,0,1,0,1,14,1,1,41,38,21
도로법,10,0,0,0,2,0,0,0,0,0,1,0,0,42,0,51,0,0,0,1,0,2,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,1,1,2,10,18,29
도시및주거환경정비법,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,22,0,2,0,0,0,0,0,0,0,43,0,0,0,0,37,0,0,0,0,0,0,4,1,0,8,34,75
독점규제및공정거래에관한법률,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
디자인보호법,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,24
마약류관리에관한법률(대마),6,0,0,0,0,0,5,0,4,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,4,0,6,0,0,14,0,0,0,1,0,7,4,0,14,11,65,26
마약류관리에관한법률(마약),206,0,0,0,1,0,7,1,0,0,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,16,0,0,6,5,18,1,0,0,2,0,0,17,0,1,68,337,29
마약류관리에관한법률(향정),0,0,0,0,2,0,3,1,25,0,1,2,0,3,0,57,1,1,3,5,2,3,0,6,0,56,1,71,16,2,77,8,0,0,5,0,7,58,1,24,71,672,234
물환경보전법,2,0,8,3,0,0,1,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,27
범죄수익은닉의규제및처벌등에관한법률,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,15,23
