범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
절도,222,1082,4998,867,0,2,0,13775,3301,23,219,190,10
장물,3,14,65,16,0,0,0,238,120,0,2,1,2
사기,749,5438,6022,356,0,0,0,4877,21920,5,936,3907,683
횡령,50,385,894,98,0,0,0,2345,3007,2,147,245,67
배임,13,109,79,0,0,0,0,52,930,0,35,50,14
손괴,16,157,1108,31,191,0,0,1832,1083,34,153,49,1
살인,64,24,2,2,0,0,0,12,22,0,9,1,0
강도,23,23,10,38,0,0,0,18,24,0,1,2,0
방화,24,56,3,4,4,0,0,83,28,0,2,4,0
성폭력,12,79,86,52,1,0,3,160,295,7,74,7,1
폭행,30,510,4928,784,2314,0,47,4440,2758,301,22612,135,26
상해,63,702,3469,645,466,0,8,4396,1332,144,469,67,8
협박,5,84,341,38,205,0,6,222,564,8,331,13,2
공갈,23,86,71,90,0,0,0,84,253,0,11,52,6
약취와유인,7,13,1,0,1,0,2,17,40,0,0,1,0
체포와감금,8,42,30,30,19,0,1,60,245,1,19,4,4
"폭력행위등(손괴,강요,주거침입등)",0,9,134,31,1,0,0,169,168,4,4,6,2
"폭력행위등(단체등의구성,활동)",0,0,0,9,0,0,0,4,5,0,1,1,0
통화,1,3,0,1,0,0,0,9,8,0,1,4,1
유가증권·인지·우표,1,14,1,0,0,0,0,3,23,0,3,7,0
문서,49,423,555,127,0,0,0,919,1662,6,191,147,51
인장,1,21,6,0,0,0,0,5,42,0,0,1,0
직무유기,0,2,0,0,0,0,0,0,122,1,1,0,0
직권남용,2,2,0,0,0,0,0,0,72,0,0,0,2
수뢰,5,16,4,0,0,0,0,15,39,0,1,1,0
증뢰,4,8,6,0,0,0,0,3,10,0,1,0,1
도박과복표,43,236,1226,0,0,0,0,1567,598,40,15,26,9
신앙,3,10,4,0,0,0,0,2,60,10,0,1,0
기타음란행위,0,6,10,0,0,0,0,23,12,2,0,0,0
과실치사상,1,10,191,1,3,0,0,20,108,0,427,12,0
업무상과실치사상,0,58,116,0,0,0,1,96,317,0,5,62,0
실화,0,6,80,1,0,0,0,282,25,0,3,0,0
명예,3,73,1963,98,1,0,0,429,2631,158,2251,149,7
권리행사방해,2,124,276,6,0,0,0,108,1878,2,39,284,59
신용업무경매,28,261,1239,12,1,0,0,985,1555,35,90,35,8
주거침입,6,69,560,12,2,0,0,718,754,46,41,28,2
비밀침해,0,0,2,0,0,0,0,1,13,0,7,0,0
유기,9,37,5,1,0,0,10,25,71,0,0,3,0
교통방해,0,8,62,0,0,0,0,26,111,0,4,0,0
