"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상,계,단독범,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,공범관계,미상
"죄종별(1)",죄종별(2),소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계,소계,소계,소계,학교동창,교도소.소년원동료,직장동료,친인척,군동료,동네친구,고향친구,애인,기타,소계
"계",소계,327588,241368,47346,2592,31,4697,4648,7,5975,603,2133,26660,38874,323924,154239,48385,2510,31,3954,4343,11,5574,468,2074,29420,121300,340589,161833,49468,2186,41,4425,4081,14,5548,526,2092,30555,129288,319658,150503,42930,1576,56,4082,3549,11,5058,479,1957,26162,126225,273150,140980,39335,1103,28,3222,3375,6,4519,343,1762,24977,92835
"강력범죄",소계,1078,803,207,18,-,9,17,-,59,3,37,64,68,1188,628,231,23,-,8,16,-,53,7,30,94,329,1317,667,216,19,3,10,17,-,57,5,21,84,434,1343,677,203,19,-,18,14,-,52,-,30,70,463,1085,610,112,10,3,4,7,-,33,2,13,40,363
"강력범죄",살인기수,72,53,12,2,-,-,3,-,2,-,2,3,7,67,28,20,-,-,2,5,-,-,-,2,11,19,80,39,17,-,-,-,5,-,2,-,3,7,24,85,45,11,1,-,-,4,-,2,-,4,-,29,80,37,15,-,-,-,3,-,-,-,1,11,28
"강력범죄",살인미수등,63,52,5,-,-,-,-,-,1,-,4,-,6,81,51,13,2,-,-,2,-,-,-,2,7,17,69,39,8,-,-,-,2,-,1,-,-,5,22,78,43,9,2,-,-,1,-,2,-,-,4,26,63,47,4,-,-,-,1,-,1,-,-,2,12
"강력범죄",강도,142,31,99,7,-,5,11,-,29,3,17,27,12,132,22,91,4,-,3,3,-,28,5,13,35,19,164,26,117,10,3,1,5,-,42,5,11,40,21,176,25,113,10,-,12,3,-,39,-,12,37,38,99,31,53,7,3,1,-,-,23,2,6,11,15
"강력범죄",강간,72,38,26,-,-,-,2,-,11,-,4,9,8,89,28,29,3,-,-,1,-,10,2,5,8,32,96,31,15,1,-,-,3,-,3,-,2,6,50,103,48,15,-,-,-,3,-,2,-,3,7,40,78,34,11,1,-,-,1,-,3,-,3,3,33
"강력범죄",유사강간,14,11,2,-,-,-,-,-,-,-,-,2,1,21,5,6,-,-,-,-,-,2,-,-,4,10,25,8,5,2,-,-,-,-,2,-,-,1,12,43,22,8,-,-,3,-,-,-,-,4,1,13,22,10,1,-,-,-,-,-,1,-,-,-,11
"강력범죄",강제추행,487,411,47,7,-,4,-,-,11,-,7,18,29,563,298,61,14,-,3,1,-,10,-,6,27,204,658,356,38,4,-,7,-,-,3,-,4,20,264,655,333,31,5,-,3,1,-,6,-,4,12,291,570,306,20,-,-,3,2,-,4,-,3,8,244
"강력범죄",기타 강간·강제추행 등,9,2,6,-,-,-,-,-,3,-,-,3,1,9,6,-,-,-,-,-,-,-,-,-,-,3,13,6,4,-,-,-,-,-,2,-,1,1,3,14,1,7,-,-,-,1,-,1,-,3,2,6,5,2,2,-,-,-,-,-,1,-,-,1,1
"강력범죄",방화,219,205,10,2,-,-,1,-,2,-,3,2,4,226,190,11,-,-,-,4,-,3,-,2,2,25,212,162,12,2,-,2,2,-,2,-,-,4,38,189,160,9,1,-,-,1,-,-,-,-,7,20,168,143,6,2,-,-,-,-,-,-,-,4,19
"절도범죄",소계,25201,20239,4162,755,14,234,505,-,1229,73,439,913,800,24100,17504,3980,612,15,191,458,1,1146,64,441,1052,2616,26316,19658,3772,612,9,155,463,3,1115,73,373,969,2886,25760,19509,3375,390,14,146,475,-,1086,55,319,890,2876,24489,19353,2716,203,1,98,438,1,792,36,291,856,2420
"폭력범죄",소계,60162,44668,8991,1169,1,458,1760,1,2236,180,644,2542,6503,59167,28446,8551,1210,4,404,1627,3,1991,124,523,2665,22170,61928,31557,7408,941,-,348,1400,2,1908,85,504,2220,22963,55441,28993,6019,614,2,448,1091,3,1497,95,411,1858,20429,48573,28480,5276,496,4,246,1038,1,1328,96,386,1681,14817
"폭력범죄",상해,9281,8129,819,62,-,45,153,-,143,13,62,341,333,8483,6529,746,94,-,33,160,1,94,4,43,317,1208,8202,6490,586,64,-,40,106,2,89,3,40,242,1126,7404,5922,388,18,1,16,79,1,70,6,29,168,1094,5932,4877,335,29,-,17,52,-,63,9,38,127,720
"폭력범죄",폭행,35781,29652,1803,153,1,86,387,-,303,34,153,686,4326,35819,16503,1909,196,2,70,353,2,335,22,116,813,17407,37763,18634,1498,125,-,58,313,-,262,24,119,597,17631,33022,16703,1227,115,-,65,257,2,215,8,82,483,15092,28624,17007,1024,53,1,46,215,1,180,15,72,441,10593
"폭력범죄",체포·감금,338,132,93,13,-,8,24,-,20,-,7,21,113,281,49,84,10,-,6,13,-,22,-,3,30,148,304,49,79,12,-,9,16,-,5,-,4,33,176,279,40,66,2,-,1,23,-,12,-,5,23,173,283,63,68,5,-,11,11,-,14,4,4,19,152
