"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상,계,이욕,이욕,이욕,이욕,이욕,이욕,이욕,사행심,보복,가정불화,호기심,유혹,우발적,현실불만,부주의,기타,미상
"죄종별(1)",죄종별(2),소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,생활비,유흥비,도박비,허영사치심,치부,기타,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계
"계",소계,327588,35708,14533,425,140,156,255,20199,3126,39,4674,1814,1435,39389,1295,36006,87698,116404,323924,33956,13306,322,129,89,380,19730,3317,26,4145,962,1072,43961,1062,34530,75597,125296,340589,36441,13652,214,118,109,184,22164,3574,30,5073,1140,1071,47174,1094,35755,76049,133188,319658,32134,12346,255,109,70,110,19244,2967,45,4744,1536,1076,44961,1102,31504,71343,128246,273150,27957,11326,192,86,75,79,16199,2317,54,6011,1557,1046,44662,876,28954,66830,92886
"강력범죄",소계,1078,75,34,8,-,1,-,32,1,1,41,21,7,272,26,27,336,271,1188,67,27,6,-,-,1,33,1,-,28,11,9,343,32,24,308,365,1317,87,25,10,-,-,2,50,6,-,23,14,7,342,23,39,299,477,1343,88,28,14,-,-,3,43,8,1,30,11,9,362,24,39,288,483,1085,63,20,12,-,1,5,25,8,1,19,18,4,281,21,17,285,368
"강력범죄",살인기수,72,3,1,-,-,-,-,2,-,-,11,-,-,21,3,1,20,13,67,1,-,-,-,-,1,-,-,-,5,-,1,16,3,-,21,20,80,2,-,-,-,-,2,-,-,-,5,-,-,23,7,-,19,24,85,3,2,-,-,-,1,-,-,-,4,-,1,28,1,1,18,29,80,4,-,-,-,-,3,1,-,-,4,-,-,17,5,1,21,28
"강력범죄",살인미수등,63,-,-,-,-,-,-,-,-,-,6,-,-,23,6,-,17,11,81,1,-,-,-,-,-,1,-,-,8,-,-,34,8,-,13,17,69,-,-,-,-,-,-,-,-,-,5,-,-,21,3,2,16,22,78,2,-,-,-,-,-,2,-,-,8,-,-,18,8,1,15,26,63,2,-,-,-,-,1,1,-,1,4,-,-,22,3,1,18,12
"강력범죄",강도,142,58,30,7,-,-,-,21,-,-,1,1,1,20,1,1,40,19,132,46,21,6,-,-,-,19,-,-,-,-,-,18,-,1,29,38,164,59,15,10,-,-,-,34,5,-,-,4,-,16,-,6,27,47,176,64,22,14,-,-,2,26,2,1,1,1,1,26,-,1,25,54,99,41,14,12,-,-,-,15,3,-,1,1,-,20,-,2,15,16
"강력범죄",강간,72,3,-,-,-,-,-,3,1,-,5,7,2,14,1,3,18,18,89,5,2,-,-,-,-,3,-,-,2,3,1,17,-,3,23,35,96,8,5,-,-,-,-,3,-,-,1,2,3,9,-,3,20,50,103,7,1,-,-,-,-,6,1,-,-,1,1,23,-,7,22,41,78,4,3,-,-,-,-,1,1,-,-,1,1,11,1,1,25,33
"강력범죄",유사강간,14,1,-,-,-,-,-,1,-,-,-,-,-,2,-,-,6,5,21,-,-,-,-,-,-,-,-,-,-,1,1,4,-,1,3,11,25,1,1,-,-,-,-,-,-,-,-,1,-,5,-,2,4,12,43,1,-,-,-,-,-,1,3,-,-,1,2,9,-,2,12,13,22,-,-,-,-,-,-,-,-,-,-,2,-,2,-,1,6,11
"강력범죄",강제추행,487,9,3,1,-,1,-,4,-,-,1,8,4,110,-,15,161,179,563,9,3,-,-,-,-,6,1,-,3,5,6,145,5,15,162,212,658,13,3,-,-,-,-,10,1,-,3,7,4,170,-,23,165,272,655,6,2,-,-,-,-,4,2,-,2,6,4,172,-,20,150,293,570,8,3,-,-,1,-,4,4,-,2,12,3,134,1,9,149,248
"강력범죄",기타 강간·강제추행 등,9,-,-,-,-,-,-,-,-,-,-,-,-,5,3,-,-,1,9,1,-,-,-,-,-,1,-,-,-,2,-,2,-,1,-,3,13,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,3,7,14,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,5,6,5,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,2,1
