"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,미성년,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상,계,미성년,미성년,미성년,미성년,미성년,미성년,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,성인,미상
"죄종별(1)",죄종별(2),소계,소계,14세미만,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계,소계,소계,14세,15세,16세,17세,18세,소계,19세,20세,21~25세,26~30세,31~35세,36~40세,41~45세,46~50세,51~55세,56~60세,61~65세,66~70세,71세이상,소계
"계",소계,327588,12785,39,1644,2216,2664,2989,3233,313916,3604,4308,23434,23210,28016,32092,37769,43651,42700,36651,19521,9675,9285,887,323924,12215,1934,2263,2272,2693,3053,310617,3333,3804,22423,22492,25887,32626,35519,42780,40940,37709,21921,10668,10515,1092,340589,11742,1970,2246,2055,2492,2979,326712,3674,3868,22651,24355,25488,34470,35774,43607,41724,40649,25186,12435,12831,2135,319658,10713,1820,1927,1997,2321,2648,305606,3486,4148,22239,23876,23149,30464,31003,38780,39665,37198,25546,12786,13266,3339,273150,9148,1509,1739,1909,1759,2232,263295,2822,3530,20389,22070,20872,25523,27048,31423,32209,29771,22577,11993,13068,707
"강력범죄",소계,1078,152,-,19,31,35,40,27,925,23,15,105,85,113,102,103,109,114,77,39,23,17,1,1188,147,26,32,38,25,26,1039,26,32,147,91,87,97,111,151,122,82,47,19,27,2,1317,165,28,36,46,32,23,1144,30,23,142,114,109,118,103,144,130,106,73,27,25,8,1343,132,21,45,22,20,24,1200,27,31,151,119,98,133,122,140,130,97,85,32,35,11,1085,93,26,16,18,12,21,983,27,29,129,121,86,106,85,133,79,99,49,17,23,9
"강력범죄",살인기수,72,6,-,-,-,-,5,1,66,1,-,6,7,14,8,8,4,7,6,2,1,2,-,67,5,-,-,3,-,2,62,1,2,7,1,9,7,10,5,7,3,2,3,5,-,80,3,-,-,2,1,-,76,4,-,7,4,7,12,7,8,5,12,3,3,4,1,85,-,-,-,-,-,-,85,1,1,10,8,5,9,10,6,10,9,9,3,4,-,80,-,-,-,-,-,-,80,2,1,12,13,13,11,7,1,4,4,6,2,4,-
"강력범죄",살인미수등,63,1,-,-,-,-,-,1,62,-,-,2,9,6,3,9,9,8,6,3,2,5,-,81,3,-,-,1,-,2,78,1,3,10,6,1,5,13,13,5,9,7,2,3,-,69,4,1,-,1,1,1,65,2,-,8,3,7,7,8,4,8,8,6,2,2,-,78,2,1,-,-,-,1,75,1,1,12,10,6,9,6,8,6,6,4,2,4,1,63,1,-,-,-,-,1,60,-,3,8,10,6,6,7,8,2,4,3,1,2,2
"강력범죄",강도,142,53,-,4,9,20,12,8,88,5,4,6,10,13,11,7,10,7,7,5,2,1,1,132,49,8,8,14,11,8,82,4,3,15,4,9,11,3,11,10,5,2,3,2,1,164,89,19,26,26,14,4,74,2,4,4,6,6,8,4,15,8,7,3,1,6,1,176,72,11,29,19,8,5,102,1,7,12,10,5,11,14,11,10,10,3,4,4,2,99,37,10,8,8,6,5,62,5,3,6,7,3,3,6,7,8,9,4,1,-,-
"강력범죄",강간,72,23,-,2,6,1,8,6,49,1,1,6,2,7,9,3,5,9,2,2,2,-,-,89,24,6,9,4,4,1,65,4,2,10,5,8,7,8,6,5,5,2,1,2,-,96,6,1,-,3,-,2,89,1,1,20,13,6,3,6,9,11,6,10,3,-,1,103,12,1,5,1,3,2,89,4,7,13,5,5,8,13,7,13,2,6,3,3,2,78,10,4,2,1,2,1,68,3,4,15,14,5,5,4,6,3,4,2,-,3,-
"강력범죄",유사강간,14,1,-,-,-,-,-,1,13,1,1,4,-,2,2,1,1,-,-,-,1,-,-,21,7,-,-,3,1,3,14,2,1,2,4,2,-,1,1,-,-,1,-,-,-,25,7,-,1,2,1,3,17,2,-,3,2,4,-,-,3,1,2,-,-,-,1,43,5,1,3,-,-,1,37,4,-,7,3,8,4,3,3,3,1,-,1,-,1,22,3,-,-,1,1,1,17,-,1,5,-,3,4,-,1,1,1,1,-,-,2
