"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상,계,없음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,전과있음,미상
"죄종별(1)",죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"계",소계,327588,121996,91128,36191,18976,10888,6709,4570,3125,2115,1515,7039,114464,323924,117502,85967,33736,17273,10187,6514,4463,2860,2103,1468,7363,120455,340589,124003,88054,34568,17637,10374,6493,4553,2986,2155,1508,7780,128532,319658,112032,82227,31591,16156,9654,6133,4237,2920,2194,1508,7834,125399,273150,106020,74924,29168,14756,8682,5374,3850,2624,1965,1349,7156,92206
"강력범죄",소계,1078,458,359,138,82,34,25,17,13,7,6,37,261,1188,506,364,134,67,49,28,17,22,13,4,30,318,1317,510,379,140,64,38,27,25,16,16,7,46,428,1343,516,372,141,71,40,28,19,14,11,7,41,455,1085,424,307,113,66,36,20,6,9,14,6,37,354
"강력범죄",살인기수,72,40,19,12,3,2,-,-,1,-,-,1,13,67,34,16,6,4,-,1,-,2,1,1,1,17,80,36,21,11,5,-,2,-,-,-,-,3,23,85,33,23,9,1,1,2,3,2,3,-,2,29,80,32,20,9,2,4,2,1,-,2,-,-,28
"강력범죄",살인미수등,63,38,14,5,3,1,1,-,2,-,-,2,11,81,41,24,10,8,-,-,-,2,-,-,4,16,69,24,24,11,4,4,-,1,1,1,-,2,21,78,37,15,8,4,1,1,-,-,1,-,-,26,63,30,21,9,8,-,-,1,1,-,-,2,12
"강력범죄",강도,142,62,61,12,20,6,2,4,4,2,1,10,19,132,56,59,25,8,7,3,7,2,1,-,6,17,164,71,72,27,11,12,7,3,2,1,1,8,21,176,69,69,30,13,4,7,2,-,1,2,10,38,99,45,39,11,5,4,1,-,3,2,2,11,15
"강력범죄",강간,72,35,19,11,5,2,1,-,-,-,-,-,18,89,37,21,8,-,5,3,-,3,1,1,-,31,96,24,22,13,2,2,3,1,-,-,-,1,50,103,39,25,13,6,3,1,1,-,-,-,1,39,78,29,16,9,5,-,1,-,-,-,-,1,33
"강력범죄",유사강간,14,7,2,1,-,-,-,-,-,-,-,1,5,21,11,-,-,-,-,-,-,-,-,-,-,10,25,11,2,2,-,-,-,-,-,-,-,-,12,43,25,5,4,1,-,-,-,-,-,-,-,13,22,9,2,1,-,-,-,-,-,-,-,1,11
