"죄종별(1)",죄종별(2),2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상,계,없음,전과,전과,전과,전과,전과,전과,전과,전과,전과,전과,미상
"죄종별(1)",죄종별(2),소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계,소계,소계,소계,1범,2범,3범,4범,5범,6범,7범,8범,9범이상,소계
"계",소계,86443,50007,20976,8716,3949,2311,1396,1020,779,517,382,1906,15460,77261,45178,18881,7589,3448,2059,1357,980,680,534,366,1868,13202,75022,44987,17532,6912,2950,1967,1190,889,678,466,360,2120,12503,72647,43135,18147,6861,3154,1995,1265,963,673,517,407,2312,11365,64699,39424,15424,5636,2650,1711,1052,805,593,443,395,2139,9851
"강력범죄",소계,3173,2170,576,286,103,48,34,25,16,15,6,43,427,3220,2157,558,281,107,57,28,31,10,12,8,24,505,3175,2153,523,258,86,48,33,23,19,13,10,33,499,2539,1652,487,242,98,48,32,12,9,6,7,33,400,2304,1561,400,187,86,27,18,14,15,6,7,40,343
"강력범죄",살인기수,12,9,2,1,-,-,-,1,-,-,-,-,1,3,3,-,-,-,-,-,-,-,-,-,-,-,8,5,3,3,-,-,-,-,-,-,-,-,-,5,4,1,-,-,-,-,1,-,-,-,-,-,10,5,4,2,-,-,1,-,-,1,-,-,1
"강력범죄",살인미수등,13,10,2,2,-,-,-,-,-,-,-,-,1,14,12,2,1,-,-,1,-,-,-,-,-,-,8,5,3,2,1,-,-,-,-,-,-,-,-,14,12,1,-,-,1,-,-,-,-,-,-,1,8,7,1,-,1,-,-,-,-,-,-,-,-
"강력범죄",강도,143,67,72,26,10,11,3,6,2,2,1,11,4,124,54,66,29,8,7,2,6,-,2,3,9,4,211,96,110,31,10,15,15,4,9,6,3,17,5,239,121,112,41,23,13,11,2,3,1,2,16,6,144,77,63,23,14,5,2,2,4,-,2,11,4
"강력범죄",강간,917,514,205,94,42,12,9,11,7,7,3,20,198,921,490,206,94,43,22,14,14,5,5,3,6,225,869,506,158,85,33,11,6,10,6,3,1,3,205,699,375,144,74,30,13,5,4,4,4,3,7,180,678,409,122,57,21,8,7,5,4,4,3,13,147
"강력범죄",유사강간,164,117,24,15,3,2,1,1,-,1,-,1,23,178,123,30,15,4,3,1,2,1,1,-,3,25,187,132,31,17,5,3,1,-,1,1,1,2,24,135,104,13,10,2,1,-,-,-,-,-,-,18,160,101,23,8,6,3,2,1,1,-,-,2,36
