"행정구역","2017년_거주자_총인구수","2017년_거주자_연령구간인구수","2017년_거주자_0~9세","2017년_거주자_10~19세","2017년_거주자_20~29세","2017년_거주자_30~39세","2017년_거주자_40~49세","2017년_거주자_50~59세","2017년_거주자_60~69세","2017년_거주자_70~79세","2017년_거주자_80~89세","2017년_거주자_90~99세","2017년_거주자_100세 이상","2017년_남_거주자_총인구수","2017년_남_거주자_연령구간인구수","2017년_남_거주자_0~9세","2017년_남_거주자_10~19세","2017년_남_거주자_20~29세","2017년_남_거주자_30~39세","2017년_남_거주자_40~49세","2017년_남_거주자_50~59세","2017년_남_거주자_60~69세","2017년_남_거주자_70~79세","2017년_남_거주자_80~89세","2017년_남_거주자_90~99세","2017년_남_거주자_100세 이상","2017년_여_거주자_총인구수","2017년_여_거주자_연령구간인구수","2017년_여_거주자_0~9세","2017년_여_거주자_10~19세","2017년_여_거주자_20~29세","2017년_여_거주자_30~39세","2017년_여_거주자_40~49세","2017년_여_거주자_50~59세","2017년_여_거주자_60~69세","2017년_여_거주자_70~79세","2017년_여_거주자_80~89세","2017년_여_거주자_90~99세","2017년_여_거주자_100세 이상","2018년_거주자_총인구수","2018년_거주자_연령구간인구수","2018년_거주자_0~9세","2018년_거주자_10~19세","2018년_거주자_20~29세","2018년_거주자_30~39세","2018년_거주자_40~49세","2018년_거주자_50~59세","2018년_거주자_60~69세","2018년_거주자_70~79세","2018년_거주자_80~89세","2018년_거주자_90~99세","2018년_거주자_100세 이상","2018년_남_거주자_총인구수","2018년_남_거주자_연령구간인구수","2018년_남_거주자_0~9세","2018년_남_거주자_10~19세","2018년_남_거주자_20~29세","2018년_남_거주자_30~39세","2018년_남_거주자_40~49세","2018년_남_거주자_50~59세","2018년_남_거주자_60~69세","2018년_남_거주자_70~79세","2018년_남_거주자_80~89세","2018년_남_거주자_90~99세","2018년_남_거주자_100세 이상","2018년_여_거주자_총인구수","2018년_여_거주자_연령구간인구수","2018년_여_거주자_0~9세","2018년_여_거주자_10~19세","2018년_여_거주자_20~29세","2018년_여_거주자_30~39세","2018년_여_거주자_40~49세","2018년_여_거주자_50~59세","2018년_여_거주자_60~69세","2018년_여_거주자_70~79세","2018년_여_거주자_80~89세","2018년_여_거주자_90~99세","2018년_여_거주자_100세 이상","2019년_거주자_총인구수","2019년_거주자_연령구간인구수","2019년_거주자_0~9세","2019년_거주자_10~19세","2019년_거주자_20~29세","2019년_거주자_30~39세","2019년_거주자_40~49세","2019년_거주자_50~59세","2019년_거주자_60~69세","2019년_거주자_70~79세","2019년_거주자_80~89세","2019년_거주자_90~99세","2019년_거주자_100세 이상","2019년_남_거주자_총인구수","2019년_남_거주자_연령구간인구수","2019년_남_거주자_0~9세","2019년_남_거주자_10~19세","2019년_남_거주자_20~29세","2019년_남_거주자_30~39세","2019년_남_거주자_40~49세","2019년_남_거주자_50~59세","2019년_남_거주자_60~69세","2019년_남_거주자_70~79세","2019년_남_거주자_80~89세","2019년_남_거주자_90~99세","2019년_남_거주자_100세 이상","2019년_여_거주자_총인구수","2019년_여_거주자_연령구간인구수","2019년_여_거주자_0~9세","2019년_여_거주자_10~19세","2019년_여_거주자_20~29세","2019년_여_거주자_30~39세","2019년_여_거주자_40~49세","2019년_여_거주자_50~59세","2019년_여_거주자_60~69세","2019년_여_거주자_70~79세","2019년_여_거주자_80~89세","2019년_여_거주자_90~99세","2019년_여_거주자_100세 이상","2020년_거주자_총인구수","2020년_거주자_연령구간인구수","2020년_거주자_0~9세","2020년_거주자_10~19세","2020년_거주자_20~29세","2020년_거주자_30~39세","2020년_거주자_40~49세","2020년_거주자_50~59세","2020년_거주자_60~69세","2020년_거주자_70~79세","2020년_거주자_80~89세","2020년_거주자_90~99세","2020년_거주자_100세 이상","2020년_남_거주자_총인구수","2020년_남_거주자_연령구간인구수","2020년_남_거주자_0~9세","2020년_남_거주자_10~19세","2020년_남_거주자_20~29세","2020년_남_거주자_30~39세","2020년_남_거주자_40~49세","2020년_남_거주자_50~59세","2020년_남_거주자_60~69세","2020년_남_거주자_70~79세","2020년_남_거주자_80~89세","2020년_남_거주자_90~99세","2020년_남_거주자_100세 이상","2020년_여_거주자_총인구수","2020년_여_거주자_연령구간인구수","2020년_여_거주자_0~9세","2020년_여_거주자_10~19세","2020년_여_거주자_20~29세","2020년_여_거주자_30~39세","2020년_여_거주자_40~49세","2020년_여_거주자_50~59세","2020년_여_거주자_60~69세","2020년_여_거주자_70~79세","2020년_여_거주자_80~89세","2020년_여_거주자_90~99세","2020년_여_거주자_100세 이상","2021년_거주자_총인구수","2021년_거주자_연령구간인구수","2021년_거주자_0~9세","2021년_거주자_10~19세","2021년_거주자_20~29세","2021년_거주자_30~39세","2021년_거주자_40~49세","2021년_거주자_50~59세","2021년_거주자_60~69세","2021년_거주자_70~79세","2021년_거주자_80~89세","2021년_거주자_90~99세","2021년_거주자_100세 이상","2021년_남_거주자_총인구수","2021년_남_거주자_연령구간인구수","2021년_남_거주자_0~9세","2021년_남_거주자_10~19세","2021년_남_거주자_20~29세","2021년_남_거주자_30~39세","2021년_남_거주자_40~49세","2021년_남_거주자_50~59세","2021년_남_거주자_60~69세","2021년_남_거주자_70~79세","2021년_남_거주자_80~89세","2021년_남_거주자_90~99세","2021년_남_거주자_100세 이상","2021년_여_거주자_총인구수","2021년_여_거주자_연령구간인구수","2021년_여_거주자_0~9세","2021년_여_거주자_10~19세","2021년_여_거주자_20~29세","2021년_여_거주자_30~39세","2021년_여_거주자_40~49세","2021년_여_거주자_50~59세","2021년_여_거주자_60~69세","2021년_여_거주자_70~79세","2021년_여_거주자_80~89세","2021년_여_거주자_90~99세","2021년_여_거주자_100세 이상","2022년_거주자_총인구수","2022년_거주자_연령구간인구수","2022년_거주자_0~9세","2022년_거주자_10~19세","2022년_거주자_20~29세","2022년_거주자_30~39세","2022년_거주자_40~49세","2022년_거주자_50~59세","2022년_거주자_60~69세","2022년_거주자_70~79세","2022년_거주자_80~89세","2022년_거주자_90~99세","2022년_거주자_100세 이상","2022년_남_거주자_총인구수","2022년_남_거주자_연령구간인구수","2022년_남_거주자_0~9세","2022년_남_거주자_10~19세","2022년_남_거주자_20~29세","2022년_남_거주자_30~39세","2022년_남_거주자_40~49세","2022년_남_거주자_50~59세","2022년_남_거주자_60~69세","2022년_남_거주자_70~79세","2022년_남_거주자_80~89세","2022년_남_거주자_90~99세","2022년_남_거주자_100세 이상","2022년_여_거주자_총인구수","2022년_여_거주자_연령구간인구수","2022년_여_거주자_0~9세","2022년_여_거주자_10~19세","2022년_여_거주자_20~29세","2022년_여_거주자_30~39세","2022년_여_거주자_40~49세","2022년_여_거주자_50~59세","2022년_여_거주자_60~69세","2022년_여_거주자_70~79세","2022년_여_거주자_80~89세","2022년_여_거주자_90~99세","2022년_여_거주자_100세 이상"
"서울특별시  (1100000000)","9,688,721","9,688,721","727,555","890,371","1,436,246","1,561,136","1,615,325","1,514,046","1,079,046","619,296","215,879","29,024","797","4,745,276","4,745,276","372,904","459,400","714,795","781,552","800,505","736,985","511,498","282,910","77,802","6,794","131","4,943,445","4,943,445","354,651","430,971","721,451","779,584","814,820","777,061","567,548","336,386","138,077","22,230","666","9,596,993","9,596,993","689,476","851,216","1,439,112","1,531,029","1,559,155","1,508,246","1,111,535","643,670","231,131","31,616","807","4,690,012","4,690,012","353,528","438,362","711,007","765,237","773,282","734,919","526,350","294,107","85,624","7,460","136","4,906,981","4,906,981","335,948","412,854","728,105","765,792","785,873","773,327","585,185","349,563","145,507","24,156","671","9,560,956","9,560,956","661,799","815,909","1,446,159","1,492,995","1,531,036","1,501,903","1,158,332","665,966","251,147","34,816","894","4,661,515","4,661,515","339,883","419,542","708,635","746,416","757,851","733,348","547,984","303,946","95,210","8,545","155","4,899,441","4,899,441","321,916","396,367","737,524","746,579","773,185","768,555","610,348","362,020","155,937","26,271","739","9,505,868","9,505,868","622,966","778,492","1,450,688","1,459,633","1,500,679","1,488,232","1,212,270","685,134","269,007","37,740","1,027","4,623,790","4,623,790","319,887","399,660","703,077","730,378","742,988","729,656","572,460","312,281","103,891","9,312","200","4,882,078","4,882,078","303,079","378,832","747,611","729,255","757,691","758,576","639,810","372,853","165,116","28,428","827","9,401,888","9,401,888","583,025","753,309","1,414,854","1,427,722","1,460,745","1,480,069","1,263,653","686,698","290,710","39,946","1,157","4,563,718","4,563,718","299,440","386,321","680,990","713,129","723,062","727,964","595,943","312,209","114,464","9,965","231","4,838,170","4,838,170","283,585","366,988","733,864","714,593","737,683","752,105","667,710","374,489","176,246","29,981","926","9,355,332","9,355,332","544,780","746,919","1,384,252","1,417,338","1,435,104","1,473,354","1,283,051","708,404","319,157","41,800","1,173","4,532,400","4,532,400","279,735","382,599","661,767","708,464","709,394","724,291","605,958","321,238","127,937","10,782","235","4,822,932","4,822,932","265,045","364,320","722,485","708,874","725,710","749,063","677,093","387,166","191,220","31,018","938"
"서울특별시 종로구 (1111000000)","149,159","149,159","8,986","12,886","23,674","20,992","24,169","24,595","16,890","11,696","4,592","651","28","73,263","73,263","4,566","6,540","12,058","10,437","11,789","12,431","8,269","5,210","1,769","190","4","75,896","75,896","4,420","6,346","11,616","10,555","12,380","12,164","8,621","6,486","2,823","461","24","147,492","147,492","8,577","12,302","23,542","20,791","22,985","24,526","17,408","11,751","4,863","726","21","72,162","72,162","4,371","6,217","11,828","10,314","11,158","12,275","8,634","5,257","1,893","212","3","75,330","75,330","4,206","6,085","11,714","10,477","11,827","12,251","8,774","6,494","2,970","514","18","145,714","145,714","8,199","11,658","23,343","19,972","22,242","24,531","17,958","11,730","5,293","763","25","71,085","71,085","4,135","5,886","11,587","9,894","10,789","12,284","8,949","5,231","2,096","230","4","74,629","74,629","4,064","5,772","11,756","10,078","11,453","12,247","9,009","6,499","3,197","533","21","144,017","144,017","7,516","10,945","23,196","19,609","21,499","24,362","18,784","11,658","5,568","853","27","70,140","70,140","3,794","5,461","11,416","9,755","10,468","12,219","9,356","5,190","2,222","251","8","73,877","73,877","3,722","5,484","11,780","9,854","11,031","12,143","9,428","6,468","3,346","602","19","141,517","141,517","6,973","10,308","22,634","19,219","20,465","24,183","19,604","11,275","5,953","879","24","68,632","68,632","3,531","5,120","10,909","9,590","9,877","12,171","9,769","5,002","2,401","255","7","72,885","72,885","3,442","5,188","11,725","9,629","10,588","12,012","9,835","6,273","3,552","624","17","139,437","139,437","6,392","10,027","22,125","19,163","19,636","23,701","19,863","11,233","6,379","890","28","67,371","67,371","3,232","4,970","10,528","9,551","9,448","11,802","9,953","5,024","2,582","272","9","72,066","72,066","3,160","5,057","11,597","9,612","10,188","11,899","9,910","6,209","3,797","618","19"
"서울특별시 중구 (1114000000)","121,334","121,334","7,912","8,048","17,910","20,034","19,090","20,023","14,881","9,308","3,600","511","17","60,015","60,015","3,984","4,085","8,915","10,145","9,822","10,152","7,422","4,099","1,242","146","3","61,319","61,319","3,928","3,963","8,995","9,889","9,268","9,871","7,459","5,209","2,358","365","14","121,430","121,430","7,577","7,620","18,084","20,440","18,299","20,089","15,401","9,517","3,833","549","21","59,800","59,800","3,798","3,864","8,872","10,251","9,421","10,220","7,651","4,229","1,340","148","6","61,630","61,630","3,779","3,756","9,212","10,189","8,878","9,869","7,750","5,288","2,493","401","15","121,926","121,926","7,370","7,230","18,306","20,348","17,863","20,060","16,086","9,806","4,187","653","17","59,835","59,835","3,750","3,683","8,870","10,179","9,091","10,182","8,032","4,365","1,503","174","6","62,091","62,091","3,620","3,547","9,436","10,169","8,772","9,878","8,054","5,441","2,684","479","11","121,113","121,113","6,817","6,693","18,440","19,816","17,434","19,884","16,681","10,145","4,478","710","15","59,236","59,236","3,496","3,368","8,794","9,884","8,931","10,081","8,291","4,566","1,624","196","5","61,877","61,877","3,321","3,325","9,646","9,932","8,503","9,803","8,390","5,579","2,854","514","10","119,748","119,748","6,284","6,405","18,176","19,648","16,894","19,341","17,476","9,944","4,815","747","18","58,241","58,241","3,259","3,175","8,418","9,807","8,646","9,785","8,686","4,505","1,755","199","6","61,507","61,507","3,025","3,230","9,758","9,841","8,248","9,556","8,790","5,439","3,060","548","12","118,665","118,665","5,954","6,267","17,531","19,700","16,449","18,911","17,630","10,108","5,282","807","26","57,605","57,605","3,055","3,120","8,144","9,871","8,361","9,503","8,796","4,565","1,972","211","7","61,060","61,060","2,899","3,147","9,387","9,829","8,088","9,408","8,834","5,543","3,310","596","19"
"서울특별시 용산구 (1117000000)","219,117","219,117","15,249","17,769","31,510","37,147","36,740","33,681","23,907","15,628","6,543","918","25","106,453","106,453","7,817","9,153","15,438","18,499","18,190","16,634","11,425","6,720","2,325","244","8","112,664","112,664","7,432","8,616","16,072","18,648","18,550","17,047","12,482","8,908","4,218","674","17","218,951","218,951","14,649","16,926","32,048","37,468","35,523","34,084","24,577","15,679","6,973","989","35","106,257","106,257","7,574","8,624","15,567","18,712","17,479","16,849","11,841","6,822","2,524","258","7","112,694","112,694","7,075","8,302","16,481","18,756","18,044","17,235","12,736","8,857","4,449","731","28","218,691","218,691","14,079","16,198","32,381","37,274","34,631","34,382","25,477","15,738","7,394","1,103","34","106,037","106,037","7,285","8,273","15,633","18,611","17,037","17,029","12,277","6,866","2,724","295","7","112,654","112,654","6,794","7,925","16,748","18,663","17,594","17,353","13,200","8,872","4,670","808","27","220,116","220,116","13,448","15,434","33,073","37,338","34,255","35,065","26,814","15,738","7,737","1,181","33","106,437","106,437","6,949","7,855","15,743","18,676","16,806","17,379","12,982","6,864","2,867","311","5","113,679","113,679","6,499","7,579","17,330","18,662","17,449","17,686","13,832","8,874","4,870","870","28","216,655","216,655","12,613","14,505","32,457","37,158","32,817","34,686","27,802","15,204","8,141","1,235","37","104,412","104,412","6,504","7,363","15,285","18,376","16,176","17,156","13,493","6,681","3,014","356","8","112,243","112,243","6,109","7,142","17,172","18,782","16,641","17,530","14,309","8,523","5,127","879","29","215,127","215,127","11,933","14,105","31,579","37,669","31,927","34,384","28,415","15,179","8,619","1,280","37","103,441","103,441","6,088","7,196","14,662","18,672","15,778","16,852","13,886","6,673","3,256","374","4","111,686","111,686","5,845","6,909","16,917","18,997","16,149","17,532","14,529","8,506","5,363","906","33"
"서울특별시 성동구 (1120000000)","299,323","299,323","23,425","23,721","45,641","51,843","49,108","47,261","31,594","19,137","6,771","796","26","147,547","147,547","11,947","11,860","23,025","25,855","24,825","23,704","15,199","8,527","2,405","197","3","151,776","151,776","11,478","11,861","22,616","25,988","24,283","23,557","16,395","10,610","4,366","599","23","302,660","302,660","23,064","22,842","46,599","52,798","48,200","48,096","33,262","19,577","7,302","897","23","148,556","148,556","11,746","11,454","23,131","26,193","24,341","23,985","16,137","8,727","2,616","222","4","154,104","154,104","11,318","11,388","23,468","26,605","23,859","24,111","17,125","10,850","4,686","675","19","295,428","295,428","21,973","21,314","45,707","50,422","46,212","47,127","34,123","19,808","7,756","961","25","144,547","144,547","11,223","10,672","22,632","24,856","23,211","23,490","16,536","8,823","2,857","243","4","150,881","150,881","10,750","10,642","23,075","25,566","23,001","23,637","17,587","10,985","4,899","718","21","288,254","288,254","20,436","19,710","44,761","48,405","44,163","46,027","35,489","19,949","8,247","1,037","30","140,799","140,799","10,464","9,839","22,144","23,788","22,138","22,916","17,295","8,891","3,049","266","9","147,455","147,455","9,972","9,871","22,617","24,617","22,025","23,111","18,194","11,058","5,198","771","21","282,612","282,612","19,207","18,812","43,259","46,467","42,742","45,262","37,070","19,791","8,863","1,105","34","137,628","137,628","9,792","9,395","21,302","22,855","21,419","22,346","18,078","8,803","3,354","277","7","144,984","144,984","9,415","9,417","21,957","23,612","21,323","22,916","18,992","10,988","5,509","828","27","278,758","278,758","18,225","18,433","41,991","45,432","41,801","44,272","37,808","19,898","9,705","1,152","41","135,467","135,467","9,373","9,170","20,606","22,201","20,969","21,780","18,426","8,879","3,743","310","10","143,291","143,291","8,852","9,263","21,385","23,231","20,832","22,492","19,382","11,019","5,962","842","31"
"서울특별시 광진구 (1121500000)","352,229","352,229","24,193","30,758","60,210","60,598","57,368","55,176","36,208","20,049","6,759","882","28","171,588","171,588","12,453","15,736","28,995","30,204","28,117","26,795","17,333","9,287","2,458","206","4","180,641","180,641","11,740","15,022","31,215","30,394","29,251","28,381","18,875","10,762","4,301","676","24","350,201","350,201","23,167","29,129","60,938","59,845","55,172","55,162","37,683","20,797","7,333","942","33","170,109","170,109","11,906","14,877","29,166","29,633","27,144","26,781","18,036","9,596","2,731","235","4","180,092","180,092","11,261","14,252","31,772","30,212","28,028","28,381","19,647","11,201","4,602","707","29","346,032","346,032","21,637","27,480","61,438","57,591","53,549","54,412","39,448","21,359","8,031","1,045","42","167,631","167,631","11,103","14,014","29,223","28,464","26,363","26,466","18,791","9,855","3,080","267","5","178,401","178,401","10,534","13,466","32,215","29,127","27,186","27,946","20,657","11,504","4,951","778","37","341,534","341,534","19,553","25,836","62,650","55,462","51,599","53,418","41,441","21,825","8,590","1,121","39","164,828","164,828","9,965","13,168","29,381","27,445","25,420","25,982","19,727","10,068","3,363","300","9","176,706","176,706","9,588","12,668","33,269","28,017","26,179","27,436","21,714","11,757","5,227","821","30","336,447","336,447","17,726","24,700","61,394","54,331","49,763","52,847","43,370","21,697","9,384","1,196","39","162,207","162,207","9,104","12,526","28,736","26,965","24,481","25,830","20,596","9,919","3,726","313","11","174,240","174,240","8,622","12,174","32,658","27,366","25,282","27,017","22,774","11,778","5,658","883","28","334,978","334,978","16,435","24,418","60,072","54,424","48,732","52,558","44,157","22,586","10,273","1,283","40","161,294","161,294","8,458","12,325","28,005","27,118","23,892","25,558","21,113","10,302","4,166","345","12","173,684","173,684","7,977","12,093","32,067","27,306","24,840","27,000","23,044","12,284","6,107","938","28"
"서울특별시 동대문구 (1123000000)","343,799","343,799","23,667","27,780","53,769","52,491","54,471","54,333","41,136","26,208","8,833","1,083","28","171,744","171,744","12,155","14,192","27,795","27,248","27,989","27,098","19,777","11,861","3,368","255","6","172,055","172,055","11,512","13,588","25,974","25,243","26,482","27,235","21,359","14,347","5,465","828","22","341,171","341,171","22,871","26,414","53,868","52,173","52,470","53,846","42,031","26,754","9,534","1,178","32","169,996","169,996","11,784","13,427","27,532","26,956","27,033","26,896","20,371","12,037","3,661","296","3","171,175","171,175","11,087","12,987","26,336","25,217","25,437","26,950","21,660","14,717","5,873","882","29","339,364","339,364","22,088","25,107","54,624","50,878","51,275","53,064","43,507","27,165","10,345","1,280","31","168,639","168,639","11,350","12,730","27,585","26,358","26,404","26,541","21,010","12,249","4,055","352","5","170,725","170,725","10,738","12,377","27,039","24,520","24,871","26,523","22,497","14,916","6,290","928","26","336,238","336,238","20,765","23,543","55,954","49,644","49,549","51,852","45,073","27,402","11,072","1,337","47","166,489","166,489","10,656","11,910","27,799","25,644","25,544","26,077","21,757","12,400","4,333","359","10","169,749","169,749","10,109","11,633","28,155","24,000","24,005","25,775","23,316","15,002","6,739","978","37","333,894","333,894","19,567","22,683","55,996","48,683","48,366","51,264","46,791","27,052","12,020","1,419","53","164,740","164,740","10,024","11,522","27,375","25,020","24,889","25,931","22,642","12,198","4,756","371","12","169,154","169,154","9,543","11,161","28,621","23,663","23,477","25,333","24,149","14,854","7,264","1,048","41","334,154","334,154","18,627","22,666","56,012","48,309","47,924","50,884","47,312","27,626","13,242","1,497","55","164,365","164,365","9,500","11,542","27,013","24,860","24,649","25,683","22,996","12,413","5,286","413","10","169,789","169,789","9,127","11,124","28,999","23,449","23,275","25,201","24,316","15,213","7,956","1,084","45"
"서울특별시 중랑구 (1126000000)","402,360","402,360","27,999","32,458","57,963","62,812","63,429","70,758","49,452","27,465","8,875","1,115","34","200,103","200,103","14,306","16,819","29,244","32,711","32,281","34,843","23,976","12,530","3,148","241","4","202,257","202,257","13,693","15,639","28,719","30,101","31,148","35,915","25,476","14,935","5,727","874","30","397,391","397,391","26,275","30,484","57,159","61,562","60,383","70,482","51,445","28,807","9,547","1,219","28","197,293","197,293","13,437","15,626","28,835","31,905","30,991","34,599","24,987","13,117","3,541","251","4","200,098","200,098","12,838","14,858","28,324","29,657","29,392","35,883","26,458","15,690","6,006","968","24","391,196","391,196","24,689","28,436","55,922","58,924","58,250","69,324","53,930","29,794","10,530","1,363","34","193,851","193,851","12,722","14,552","28,011","30,441","29,941","34,104","26,183","13,582","4,020","293","2","197,345","197,345","11,967","13,884","27,911","28,483","28,309","35,220","27,747","16,212","6,510","1,070","32","389,270","389,270","23,050","26,675","55,824","57,597","56,946","68,171","57,183","30,871","11,465","1,451","37","192,360","192,360","11,915","13,607","27,643","29,693","29,429","33,476","27,725","14,131","4,430","307","4","196,910","196,910","11,135","13,068","28,181","27,904","27,517","34,695","29,458","16,740","7,035","1,144","33","383,963","383,963","21,274","25,366","53,903","56,649","55,136","66,503","60,015","30,952","12,570","1,556","39","189,218","189,218","10,959","12,889","26,523","29,138","28,522","32,772","29,037","14,097","4,945","331","5","194,745","194,745","10,315","12,477","27,380","27,511","26,614","33,731","30,978","16,855","7,625","1,225","34","383,029","383,029","20,331","24,788","52,148","57,466","54,271","65,040","61,478","31,892","13,919","1,656","40","188,205","188,205","10,392","12,661","25,281","29,452","28,167","32,055","29,707","14,557","5,536","390","7","194,824","194,824","9,939","12,127","26,867","28,014","26,104","32,985","31,771","17,335","8,383","1,266","33"
"서울특별시 성북구 (1129000000)","436,211","436,211","33,568","41,590","63,404","63,688","75,512","66,808","48,244","31,118","10,911","1,334","34","212,732","212,732","17,183","21,232","31,572","31,675","37,802","32,558","22,611","13,760","4,008","322","9","223,479","223,479","16,385","20,358","31,832","32,013","37,710","34,250","25,633","17,358","6,903","1,012","25","428,006","428,006","31,290","39,925","63,130","61,269","71,876","66,582","49,131","31,603","11,686","1,483","31","208,100","208,100","16,053","20,383","31,177","30,496","35,762","32,580","23,035","13,847","4,403","355","9","219,906","219,906","15,237","19,542","31,953","30,773","36,114","34,002","26,096","17,756","7,283","1,128","22","434,848","434,848","30,962","38,951","65,830","61,341","71,261","68,046","51,568","32,289","12,901","1,661","38","210,728","210,728","15,845","19,913","32,148","30,495","35,234","33,372","24,347","14,038","4,931","396","9","224,120","224,120","15,117","19,038","33,682","30,846","36,027","34,674","27,221","18,251","7,970","1,265","29","429,564","429,564","28,794","37,018","66,547","59,219","68,622","67,703","53,458","32,587","13,751","1,830","35","207,275","207,275","14,710","18,859","32,013","29,472","33,837","33,364","25,075","14,232","5,276","431","6","222,289","222,289","14,084","18,159","34,534","29,747","34,785","34,339","28,383","18,355","8,475","1,399","29","426,054","426,054","27,307","35,871","65,280","58,025","66,633","68,068","55,843","32,090","14,944","1,953","40","205,324","205,324","13,960","18,235","31,248","29,007","32,840","33,533","26,217","13,959","5,846","474","5","220,730","220,730","13,347","17,636","34,032","29,018","33,793","34,535","29,626","18,131","9,098","1,479","35","427,473","427,473","25,863","36,065","65,206","57,386","65,437","69,393","56,794","32,719","16,507","2,057","46","205,472","205,472","13,214","18,335","31,046","28,694","32,014","34,235","26,650","14,242","6,510","524","8","222,001","222,001","12,649","17,730","34,160","28,692","33,423","35,158","30,144","18,477","9,997","1,533","38"
"서울특별시 강북구 (1130500000)","318,722","318,722","20,439","26,682","43,727","44,785","52,104","53,101","41,007","27,263","8,570","1,016","28","155,991","155,991","10,454","13,763","21,881","23,553","26,321","25,554","18,887","12,045","3,280","248","5","162,731","162,731","9,985","12,919","21,846","21,232","25,783","27,547","22,120","15,218","5,290","768","23","313,466","313,466","18,911","25,137","43,558","42,888","49,578","52,964","41,771","28,223","9,310","1,097","29","153,184","153,184","9,722","12,934","21,639","22,511","25,169","25,609","19,325","12,402","3,579","288","6","160,282","160,282","9,189","12,203","21,919","20,377","24,409","27,355","22,446","15,821","5,731","809","23","308,385","308,385","17,407","23,553","43,070","40,518","47,903","52,371","43,104","28,938","10,266","1,229","26","150,448","150,448","8,951","12,135","21,242","21,262","24,454","25,355","20,095","12,638","3,989","322","5","157,937","157,937","8,456","11,418","21,828","19,256","23,449","27,016","23,009","16,300","6,277","907","21","302,638","302,638","15,698","21,940","42,645","38,307","45,777","51,470","44,840","29,406","11,192","1,337","26","147,505","147,505","8,154","11,280","20,893","20,145","23,441","25,141","20,934","12,721","4,435","357","4","155,133","155,133","7,544","10,660","21,752","18,162","22,336","26,329","23,906","16,685","6,757","980","22","295,859","295,859","14,134","20,738","40,783","36,813","43,255","50,757","46,453","29,085","12,396","1,408","37","143,952","143,952","7,305","10,635","19,971","19,246","22,263","24,966","21,702","12,507","4,977","371","9","151,907","151,907","6,829","10,103","20,812","17,567","20,992","25,791","24,751","16,578","7,419","1,037","28","291,344","291,344","12,770","19,989","39,710","35,692","41,620","50,056","46,886","29,253","13,874","1,455","39","141,327","141,327","6,545","10,160","19,285","18,692","21,419","24,692","21,983","12,558","5,582","400","11","150,017","150,017","6,225","9,829","20,425","17,000","20,201","25,364","24,903","16,695","8,292","1,055","28"
