행정기관코드,기준연월,시도명,시군구명,읍면동명,전체 전월인구수,전월 남자인구수,전월 여자인구수,전체 당월인구수,당월 남자인구수,당월 여자인구수,전체 인구증감,남자 인구증감,여자 인구증감
1111051500,2023-05-31,서울특별시,종로구,청운효자동,11531,5280,6251,11517,5282,6235,-14,2,-16
1111053000,2023-05-31,서울특별시,종로구,사직동,9104,4047,5057,9104,4040,5064,0,-7,7
1111054000,2023-05-31,서울특별시,종로구,삼청동,2301,1096,1205,2291,1094,1197,-10,-2,-8
1111055000,2023-05-31,서울특별시,종로구,부암동,9168,4334,4834,9133,4319,4814,-35,-15,-20
1111056000,2023-05-31,서울특별시,종로구,평창동,17520,8184,9336,17464,8143,9321,-56,-41,-15
1111057000,2023-05-31,서울특별시,종로구,무악동,8008,3684,4324,8000,3681,4319,-8,-3,-5
1111058000,2023-05-31,서울특별시,종로구,교남동,9764,4484,5280,9759,4488,5271,-5,4,-9
1111060000,2023-05-31,서울특별시,종로구,가회동,3939,1835,2104,3926,1824,2102,-13,-11,-2
1111061500,2023-05-31,서울특별시,종로구,종로1.2.3.4가동,6737,4097,2640,6722,4091,2631,-15,-6,-9
1111063000,2023-05-31,서울특별시,종로구,종로5.6가동,5419,2857,2562,5426,2867,2559,7,10,-3
1111064000,2023-05-31,서울특별시,종로구,이화동,7046,3342,3704,7031,3340,3691,-15,-2,-13
1111065000,2023-05-31,서울특별시,종로구,혜화동,16097,7722,8375,16080,7699,8381,-17,-23,6
1111067000,2023-05-31,서울특별시,종로구,창신제1동,4630,2452,2178,4611,2439,2172,-19,-13,-6
1111068000,2023-05-31,서울특별시,종로구,창신제2동,7625,3921,3704,7598,3911,3687,-27,-10,-17
1111069000,2023-05-31,서울특별시,종로구,창신제3동,6424,3154,3270,6417,3145,3272,-7,-9,2
1111070000,2023-05-31,서울특별시,종로구,숭인제1동,5778,2786,2992,5768,2784,2984,-10,-2,-8
1111071000,2023-05-31,서울특별시,종로구,숭인제2동,9800,4804,4996,9754,4776,4978,-46,-28,-18
1114052000,2023-05-31,서울특별시,중구,소공동,2210,1047,1163,2215,1051,1164,5,4,1
1114054000,2023-05-31,서울특별시,중구,회현동,4490,2340,2150,4470,2326,2144,-20,-14,-6
1114055000,2023-05-31,서울특별시,중구,명동,2702,1149,1553,2698,1149,1549,-4,0,-4
1114057000,2023-05-31,서울특별시,중구,필동,3957,2055,1902,3958,2050,1908,1,-5,6
1114058000,2023-05-31,서울특별시,중구,장충동,4592,2424,2168,4591,2411,2180,-1,-13,12
1114059000,2023-05-31,서울특별시,중구,광희동,5620,2802,2818,5675,2829,2846,55,27,28
1114060500,2023-05-31,서울특별시,중구,을지로동,2307,1333,974,2515,1431,1084,208,98,110
1114061500,2023-05-31,서울특별시,중구,신당동,7567,3725,3842,7512,3705,3807,-55,-20,-35
1114062500,2023-05-31,서울특별시,중구,다산동,13419,6489,6930,13410,6487,6923,-9,-2,-7
1114063500,2023-05-31,서울특별시,중구,약수동,16315,7529,8786,16303,7521,8782,-12,-8,-4
1114064500,2023-05-31,서울특별시,중구,청구동,13125,6203,6922,13110,6193,6917,-15,-10,-5
1114065000,2023-05-31,서울특별시,중구,신당제5동,10160,4920,5240,10130,4905,5225,-30,-15,-15
1114066500,2023-05-31,서울특별시,중구,동화동,10008,4800,5208,9984,4806,5178,-24,6,-30
1114067000,2023-05-31,서울특별시,중구,황학동,12818,6081,6737,12818,6079,6739,0,-2,2
1114068000,2023-05-31,서울특별시,중구,중림동,11960,5909,6051,11957,5902,6055,-3,-7,4
1117051000,2023-05-31,서울특별시,용산구,후암동,16201,7876,8325,16172,7861,8311,-29,-15,-14
1117052000,2023-05-31,서울특별시,용산구,용산2가동,9010,4340,4670,9006,4348,4658,-4,8,-12
1117053000,2023-05-31,서울특별시,용산구,남영동,7023,4269,2754,6989,4241,2748,-34,-28,-6
1117055500,2023-05-31,서울특별시,용산구,청파동,19055,8870,10185,19070,8870,10200,15,0,15
1117056000,2023-05-31,서울특별시,용산구,원효로제1동,17168,7995,9173,17139,7975,9164,-29,-20,-9
1117057000,2023-05-31,서울특별시,용산구,원효로제2동,13705,6452,7253,13690,6432,7258,-15,-20,5
1117058000,2023-05-31,서울특별시,용산구,효창동,10754,5104,5650,10769,5117,5652,15,13,2
1117059000,2023-05-31,서울특별시,용산구,용문동,11483,5500,5983,11464,5497,5967,-19,-3,-16
1117062500,2023-05-31,서울특별시,용산구,한강로동,21149,10033,11116,21135,10024,11111,-14,-9,-5
