연도,관서,죄종,범죄자수
2021년,중부,살인,0
2021년,중부,폭력,277
2021년,종로,살인,0
2021년,종로,폭력,209
2021년,남대문,살인,1
2021년,남대문,폭력,116
2021년,서대문,살인,3
2021년,서대문,폭력,295
2021년,혜화,살인,0
2021년,혜화,폭력,169
2021년,용산,살인,0
2021년,용산,폭력,370
2021년,성북,살인,1
2021년,성북,폭력,189
2021년,동대문,살인,2
2021년,동대문,폭력,390
2021년,마포,살인,0
2021년,마포,폭력,428
2021년,영등포,살인,5
2021년,영등포,폭력,689
2021년,성동,살인,0
2021년,성동,폭력,297
2021년,동작,살인,1
2021년,동작,폭력,317
2021년,광진,살인,2
2021년,광진,폭력,509
2021년,서부,살인,0
2021년,서부,폭력,222
2021년,강북,살인,0
2021년,강북,폭력,596
2021년,금천,살인,2
2021년,금천,폭력,422
2021년,중랑,살인,2
2021년,중랑,폭력,555
2021년,강남,살인,2
2021년,강남,폭력,466
2021년,관악,살인,5
2021년,관악,폭력,696
2021년,강서,살인,3
2021년,강서,폭력,607
2021년,강동,살인,1
2021년,강동,폭력,490
2021년,종암,살인,0
2021년,종암,폭력,250
2021년,구로,살인,2
2021년,구로,폭력,586
2021년,서초,살인,1
2021년,서초,폭력,289
2021년,양천,살인,1
2021년,양천,폭력,385
2021년,송파,살인,0
2021년,송파,폭력,662
2021년,노원,살인,4
2021년,노원,폭력,518
2021년,방배,살인,0
2021년,방배,폭력,68
2021년,은평,살인,0
2021년,은평,폭력,253
2021년,도봉,살인,1
2021년,도봉,폭력,337
2021년,수서,살인,1
2021년,수서,폭력,226
