범죄대분류,범죄중분류,수사_형사,외근_112차,교통,검문소,기타 경찰,방범원,경비원,피해자,기타 민간인,기타,미상
강력범죄,살인기수,189 ,66 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,0 ,60 
강력범죄,살인미수등,169 ,196 ,0 ,0 ,14 ,0 ,0 ,0 ,1 ,0 ,41 
강력범죄,강도,542 ,123 ,0 ,0 ,30 ,0 ,0 ,12 ,9 ,0 ,50 
강력범죄,강간,1453 ,607 ,1 ,0 ,2659 ,0 ,0 ,10 ,1 ,16 ,948 
강력범죄,유사강간,249 ,121 ,1 ,0 ,364 ,0 ,0 ,1 ,1 ,2 ,104 
강력범죄,강제추행,4148 ,2262 ,6 ,0 ,6007 ,0 ,2 ,52 ,44 ,53 ,1456 
강력범죄,"기타 강간,강제추행등",85 ,36 ,1 ,0 ,125 ,0 ,0 ,0 ,2 ,2 ,25 
강력범죄,방화,506 ,387 ,0 ,0 ,3 ,0 ,0 ,0 ,3 ,1 ,53 
절도범죄,소계,67496 ,10081 ,61 ,0 ,2589 ,7 ,66 ,916 ,425 ,244 ,5682 
폭력범죄,상해,22917 ,7695 ,129 ,0 ,3231 ,0 ,0 ,71 ,11 ,155 ,1797 
폭력범죄,폭행,69714 ,32231 ,186 ,0 ,18247 ,0 ,4 ,269 ,19 ,659 ,25633 
폭력범죄,"체포,감금",794 ,295 ,2 ,0 ,145 ,0 ,0 ,1 ,0 ,6 ,330 
폭력범죄,협박,9193 ,5206 ,835 ,0 ,3710 ,0 ,0 ,54 ,3 ,123 ,3359 
폭력범죄,"약취,유인",187 ,30 ,0 ,0 ,41 ,0 ,0 ,2 ,0 ,18 ,44 
폭력범죄,폭력행위등,13957 ,2778 ,16 ,0 ,1956 ,1 ,4 ,24 ,7 ,81 ,2251 
폭력범죄,공갈,1839 ,102 ,2 ,0 ,367 ,0 ,0 ,7 ,1 ,13 ,2114 
폭력범죄,손괴,22444 ,7274 ,55 ,0 ,2585 ,0 ,1 ,99 ,12 ,137 ,3983 
지능범죄,직무유기,326 ,3 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,4 ,817 
지능범죄,직권남용,391 ,0 ,0 ,0 ,7 ,0 ,0 ,0 ,0 ,2 ,1474 
지능범죄,증수뢰,467 ,1 ,1 ,0 ,20 ,0 ,0 ,0 ,0 ,3 ,194 
지능범죄,통화,30 ,1 ,0 ,0 ,3 ,0 ,0 ,0 ,0 ,1 ,198 
지능범죄,"문서,인장",7178 ,215 ,52 ,0 ,289 ,0 ,0 ,5 ,1 ,130 ,5218 
지능범죄,유가증권인지,33 ,3 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,43 
지능범죄,사기,114152 ,4969 ,1861 ,0 ,2399 ,2 ,5 ,110 ,33 ,1457 ,106541 
지능범죄,횡령,20204 ,1119 ,25 ,0 ,487 ,1 ,0 ,30 ,6 ,167 ,7813 
지능범죄,배임,3304 ,23 ,2 ,0 ,61 ,0 ,1 ,3 ,0 ,44 ,2529 
풍속범죄,성풍속범죄,6329 ,1760 ,1 ,0 ,5127 ,1 ,0 ,40 ,80 ,107 ,2477 
풍속범죄,도박범죄,9029 ,4546 ,1 ,0 ,254 ,0 ,1 ,0 ,0 ,80 ,1096 
특별경제범죄,소계,31341 ,7329 ,20 ,0 ,441 ,0 ,0 ,46 ,4 ,453 ,13773 
마약범죄,소계,8782 ,303 ,6 ,0 ,537 ,0 ,0 ,0 ,1 ,96 ,898 
보건범죄,소계,30005 ,2290 ,6 ,0 ,3428 ,0 ,0 ,20 ,5 ,931 ,3431 
환경범죄,소계,4490 ,43 ,1 ,0 ,97 ,0 ,0 ,2 ,2 ,163 ,541 
교통범죄,소계,9115 ,92130 ,151999 ,4 ,14585 ,1 ,10 ,440 ,51 ,3053 ,45546 
노동범죄,소계,647 ,6 ,0 ,0 ,34 ,0 ,0 ,0 ,0 ,11 ,83 
안보범죄,소계,436 ,3 ,0 ,0 ,190 ,0 ,0 ,0 ,0 ,0 ,231 
선거범죄,소계,214 ,7 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3 ,149 
병역범죄,소계,1266 ,30 ,3 ,0 ,19 ,0 ,0 ,1 ,0 ,28 ,684 
기타범죄,소계,133451 ,23773 ,5243 ,1 ,21908 ,8 ,13 ,186 ,86 ,2664 ,57199 
