범죄대분류,범죄중분류,남자(계),남자(정상),남자(정신이상),남자(정신박약),남자(기타정신장애),남자(주취),남자(미상),여자(계),여자(정상),여자(정신이상),여자(정신박약),여자(기타정신장애),여자(주취),여자(월경시이상),미상
강력범죄,살인기수,256,112,10,0,8,63,63,85,44,0,1,2,9,0,29
강력범죄,살인미수등,376,151,11,3,6,149,56,78,30,4,0,5,13,0,26
강력범죄,강도,1026,777,9,1,20,110,109,176,124,1,1,5,7,0,38
강력범죄,강간,6010,2369,6,11,15,1448,2161,103,52,0,2,0,9,0,40
강력범죄,유사강간,891,404,2,2,5,260,218,43,21,0,0,0,9,0,13
강력범죄,강제추행,15727,6608,72,94,136,5630,3187,655,201,5,1,12,150,0,286
강력범죄,기타 강간 강제추행등,335,189,0,2,1,89,54,14,6,0,0,1,1,0,6
강력범죄,방화,1007,406,39,13,51,370,128,189,73,19,3,17,57,0,20
절도범죄,소계,72665,57862,282,315,763,6098,7345,25760,20924,220,91,594,993,70,2868
폭력범죄,상해,36148,16832,127,29,197,15741,3222,7404,4143,70,12,85,1997,1,1096
폭력범죄,폭행,145426,43454,272,64,416,35943,65277,33022,11911,150,28,203,5668,5,15057
폭력범죄,체포 감금,1416,734,1,0,2,133,546,279,99,1,0,0,6,0,173
폭력범죄,협박,19640,8416,109,20,155,4944,5996,2867,1248,32,3,45,368,0,1171
폭력범죄,약취 유인,207,108,1,4,3,18,73,89,41,0,0,2,3,0,43
폭력범죄,폭력행위등,19982,9261,5,1,8,6941,3766,5360,2947,3,1,5,1206,0,1198
폭력범죄,공갈,2847,1863,3,0,6,115,860,587,308,3,1,2,7,0,266
폭력범죄,손괴,32883,12771,197,50,269,13589,6007,5833,2859,116,13,163,1293,1,1388
지능범죄,직무유기,681,62,0,0,0,0,619,266,15,0,0,0,0,0,251
지능범죄,직권남용,784,109,1,0,0,0,674,237,21,0,0,0,0,0,216
지능범죄,증수뢰,690,458,0,0,0,0,232,117,65,0,0,0,0,0,52
지능범죄,통화,72,27,0,0,0,0,45,14,1,0,0,0,0,0,13
지능범죄,문서 인장,11278,4929,0,1,3,25,6320,4187,1931,1,1,1,26,0,2227
지능범죄,유가증권인지,95,35,0,0,0,0,60,22,8,0,0,0,0,0,14
지능범죄,사기,189681,97928,84,27,137,5831,85674,55328,26075,64,16,70,314,0,28789
지능범죄,횡령,27105,15197,23,63,105,645,11072,8825,4791,18,23,55,103,0,3835
지능범죄,배임,6674,1858,1,0,0,1,4814,1650,411,0,0,0,0,0,1239
풍속범죄,성풍속범죄,12957,9679,65,58,120,1299,1736,589,387,5,6,6,41,0,144
풍속범죄,도박범죄,18121,15941,5,0,4,962,1209,3004,2445,0,0,0,47,0,512
특별경제범죄,소계,50432,25904,88,24,105,9671,14640,17472,10704,82,11,75,942,0,5658
마약범죄,소계,8403,7253,75,8,186,100,781,3227,2869,18,3,52,35,0,250
보건범죄,소계,10662,8472,11,1,14,318,1846,11148,9074,4,1,12,128,0,1929
환경범죄,소계,4011,3435,0,0,0,2,574,318,224,0,0,0,0,0,94
교통범죄,소계,292808,90265,44,17,157,100278,102047,63638,18010,8,3,37,12955,3,32622
노동범죄,소계,480,373,1,0,0,0,106,133,106,0,0,0,0,0,27
안보범죄,소계,575,499,1,0,0,4,71,103,95,0,0,2,0,0,6
선거범죄,소계,996,630,2,2,7,38,317,549,273,1,0,3,3,0,269
병역범죄,소계,3152,2861,0,0,7,0,284,12,9,0,0,0,0,0,3
기타범죄,소계,178264,107200,293,97,453,18286,51935,66275,39388,150,27,236,2208,1,24265
