범죄분류,경찰_10일 이내,경찰_20일 이내,경찰_1개월 이내,경찰_2개월 이내,경찰_3개월 이내,경찰_6개월 이내,경찰_6개월 초과,검찰_10일 이내,검찰_20일 이내,검찰_1개월 이내,검찰_2개월 이내,검찰_3개월 이내,검찰_6개월 이내,검찰_6개월 초과
절도,22385,19332,14827,24779,10782,8966,7644,70403,16436,7688,5800,2869,2883,315
장물,424,386,333,780,400,386,490,1412,474,310,345,192,373,25
사기,17995,17265,18604,59057,60769,81356,30219,120418,31945,19326,25940,22449,42917,14046
횡령,2985,3769,3822,8397,6448,8660,3667,15858,3793,2245,3051,2871,6170,2616
배임,231,293,440,1426,1753,3648,1648,1197,500,413,918,1054,3297,1905
손괴,8395,7108,4878,8225,3512,2421,2072,25119,4693,2052,1656,993,1175,159
살인,558,51,34,90,59,81,72,498,295,18,56,28,59,19
강도,480,188,134,246,83,215,191,574,374,79,105,80,172,58
방화,353,195,146,257,125,125,69,589,198,109,154,85,82,3
성폭력,3731,4423,4324,10174,4563,3296,2389,12553,4907,2938,3656,3189,4103,310
폭행,68136,48288,28787,42941,15569,11956,14160,174657,24747,10823,8106,4378,3911,251
상해,11553,13365,10731,19403,8226,6323,5146,38196,11790,6551,6590,4424,4476,346
협박,3796,3295,2391,4169,1563,1209,1115,9815,2469,1394,1436,944,927,104
공갈,345,510,503,1685,1253,1632,815,2503,871,481,589,550,1070,278
약취와유인,37,41,45,66,28,50,31,89,59,15,34,18,68,6
체포와감금,432,350,303,624,343,373,311,991,351,190,326,236,448,69
"폭력행위등(손괴,강요,주거침입등)",225,266,254,781,515,582,395,878,371,272,232,299,549,216
"폭력행위등(단체등의구성,활동)",145,33,40,72,116,84,129,78,61,10,83,59,136,82
통화,167,368,350,684,486,202,48,1824,305,90,44,14,8,0
유가증권·인지·우표,24,17,26,54,68,155,68,83,31,23,47,52,154,32
문서,1192,1338,1471,3821,3408,4546,1923,5108,1898,1272,2153,1973,4269,1313
인장,92,78,45,118,112,104,74,265,80,59,76,52,83,30
직무유기,29,48,43,171,196,942,267,281,133,138,398,349,403,126
직권남용,8,18,82,166,202,1003,255,289,146,143,345,297,511,162
수뢰,19,41,53,108,125,249,317,118,122,79,165,113,321,237
증뢰,9,45,30,39,45,105,136,125,57,38,60,69,169,101
도박과복표,6206,3636,2266,4193,2140,2727,3023,11966,4360,2182,1617,1286,1875,552
신앙,23,26,52,141,137,104,60,148,79,25,47,62,148,16
기타음란행위,648,562,368,630,193,119,125,1570,462,239,180,73,39,17
과실치사상,429,523,420,707,280,170,144,1815,315,131,162,80,87,7
업무상과실치사상,250,332,461,1369,1085,1139,768,1373,498,417,647,783,1125,319
실화,180,296,300,624,313,228,166,1292,325,152,119,77,67,2
명예,4166,4318,3771,8362,5600,5498,2511,16044,3557,2500,2949,2552,4252,1151
권리행사방해,807,1244,1469,4052,3117,3232,954,6312,1646,1003,1455,1255,1951,561
신용업무경매,7574,4414,2950,5383,3148,3433,2367,14458,3601,1909,2122,1780,3219,1182
주거침입,2674,1795,1316,2449,1192,954,760,6112,1480,754,847,599,781,205
비밀침해,5,18,14,29,33,23,12,43,16,7,13,31,17,6
유기,11,16,33,59,41,37,45,55,21,17,33,36,71,1
교통방해,183,184,227,417,271,252,175,667,201,138,171,158,227,37
공무방해,5847,2462,1370,2236,902,897,1000,6289,2483,1550,1476,1011,1153,248
도주와범인은닉,70,115,75,158,95,115,56,352,158,104,120,101,98,6
위증과증거인멸,148,140,182,646,678,989,292,873,380,323,638,613,1129,339
무고,185,353,402,1266,1156,1552,431,1843,562,403,853,903,1703,462
공안을해하는죄,17,33,55,24,5,70,43,56,52,26,59,7,24,54
내란의죄,0,0,0,1,0,6,1,0,20,1,0,1,1,13
음용수에관한죄,1,4,1,5,4,4,5,6,4,2,1,1,8,3
일수와수리에관한죄,0,2,0,5,1,1,0,5,3,0,1,0,0,0
기타,1,4,6,15,16,14,9,12,8,7,8,6,16,10
가정폭력범죄의처벌등에관한특례법,47,49,23,40,11,11,12,100,32,20,16,10,3,0
가축분뇨의관리및이용에관한법률,135,109,96,193,78,59,71,443,178,110,83,65,72,3
