범죄분류,구공판_구속,구공판_불구속,구약식,소년보호송치,가정보호송치,성매매보호송치,아동보호송치,기소유예,혐의없음,죄가안됨,공소권없음,기소중지,참고인중지
절도,260,390,1364,247,0,0,0,2326,864,6,116,107,4
불법사용,0,0,3,1,0,0,0,3,1,0,0,1,0
침입절도,27,40,7,10,0,0,0,30,10,0,7,4,0
장물,15,17,43,10,0,0,0,44,55,0,3,4,0
사기,567,2685,1632,71,0,0,0,4256,7876,2,569,2018,637
컴퓨터등사용사기,9,30,31,3,0,0,0,201,56,0,6,23,2
부당이득,0,0,0,0,0,0,0,0,4,0,0,0,0
편의시설부정이용,0,0,16,0,0,0,0,17,9,0,0,4,1
전기통신금융사기피해금환급에관한특별법,65,35,28,1,0,0,0,221,45,0,5,25,0
보험사기방지특별법,0,7,33,2,0,0,0,100,12,0,0,2,0
횡령,44,266,585,11,0,0,0,888,1245,0,66,153,41
배임,14,82,26,0,0,0,0,19,573,0,8,18,12
배임수재,10,20,3,0,0,0,0,3,58,0,34,2,0
배임증재,2,23,6,0,0,0,0,1,7,0,0,0,0
손괴,6,60,537,7,14,0,0,742,422,4,27,19,1
살인(기수),8,2,0,0,0,0,0,0,1,0,2,4,1
"살인(미수, 예비, 음모, 방조)",13,1,1,0,0,0,0,0,4,0,2,0,1
강도,29,11,2,1,0,0,0,3,15,0,1,4,0
강도상해,29,8,6,0,0,0,0,0,0,0,0,2,0
강도치상,1,0,0,0,0,0,0,0,0,0,2,0,0
강도강간/강제추행,1,0,0,0,0,0,0,0,1,0,0,0,0
강도살인,2,0,0,0,0,0,0,0,0,0,0,0,0
일반방화,8,7,1,2,0,0,0,11,13,0,5,0,0
방화치상,1,0,0,0,0,0,0,0,0,0,0,0,0
강간,52,102,11,6,0,0,0,14,238,2,5,12,3
강제추행,28,335,287,14,0,0,1,300,354,7,19,46,1
간음,14,8,1,0,0,0,0,0,7,0,0,8,0
"강간등(강간,준강간,간음,강제추행,준강제추행)",4,2,0,0,0,0,0,1,1,0,0,1,0
강간등상해,4,1,2,0,0,0,0,0,1,0,0,1,0
강간등치상,9,16,0,0,0,0,0,1,11,0,0,2,0
강간등살인,0,0,0,0,0,0,0,0,0,0,0,2,0
특수강도강간등,1,1,0,0,0,0,0,0,1,0,0,0,0
카메라등 이용촬영,20,211,279,27,0,0,0,361,173,0,6,7,0
성적목적의 장소침입,1,4,3,0,0,0,0,8,6,0,0,2,0
통신매체 이용음란,0,15,23,3,0,0,1,25,17,0,2,13,0
공중밀집장소 추행,22,197,318,4,0,0,0,297,225,0,9,12,1
폭행,48,446,2981,128,285,0,3,951,1079,94,7103,75,9
폭행치상,1,17,62,3,4,0,0,32,13,3,9,1,0
폭행치사,6,1,0,0,0,0,0,0,0,0,0,1,0
상해,55,419,910,88,43,0,1,756,286,23,106,45,14
상해치사,6,1,0,0,0,0,0,0,1,0,0,0,0
협박,19,63,241,4,44,0,0,89,275,0,128,13,0
공갈,33,68,48,29,0,0,0,72,94,0,4,30,8
약취/유인,7,5,0,0,0,0,1,5,6,0,0,0,5
수수/은닉,0,0,0,0,0,0,0,0,0,0,0,0,1
체포,0,0,1,0,0,0,0,0,9,0,0,0,0
체포치상,0,0,0,0,0,0,0,0,1,0,0,0,0
감금,10,15,24,1,4,0,0,6,82,1,2,0,7
감금치상,3,0,4,0,0,0,0,0,10,0,0,0,0
"폭력행위등(손괴,강요,주거침입등)",0,6,39,3,0,0,0,35,75,6,0,7,5
"폭력행위등(단체등의구성, 활동)",2,8,0,0,0,0,0,0,0,0,0,0,0
통화,12,2,0,0,0,0,0,315,5,0,9,26,0
유가증권·인지·우표,3,5,0,0,0,0,0,6,23,0,10,8,2
문서,33,119,131,11,0,0,0,137,662,0,76,76,19
인장,1,39,10,0,0,0,0,9,19,0,4,1,0
직무유기,0,6,0,0,0,0,0,4,52,0,0,0,0
직권남용,4,4,1,0,0,0,0,2,78,1,7,0,5
수뢰,25,41,4,0,0,0,0,40,36,0,6,1,0
증뢰,1,30,4,0,0,0,0,3,21,0,1,1,0
도박,73,117,438,0,0,0,0,403,95,5,6,82,5
복표,0,0,0,0,0,0,0,1,0,0,0,0,0
신앙,0,2,1,0,0,0,0,0,47,0,0,0,0
공연음란,4,21,68,2,0,0,0,55,33,2,14,3,0
과실치상,0,1,52,0,0,0,0,4,28,1,88,2,0
과실치사,0,0,1,0,0,0,0,0,0,0,0,0,0
업무상과실치상,0,7,41,0,0,0,0,27,81,0,3,14,0
업무상과실치사,0,9,22,0,0,0,0,4,65,0,5,6,0
실화,1,1,8,1,0,0,0,53,9,0,0,1,0
명예,4,23,628,6,0,0,0,282,767,25,568,154,4
권리행사방해,7,30,80,3,0,0,0,22,346,1,8,60,7
신용업무경매,39,200,756,2,0,0,0,346,736,14,22,25,4
주거침입,10,37,232,4,0,0,0,211,211,12,6,7,0
비밀침해,0,0,2,0,0,0,0,4,6,2,3,0,0
유기,2,3,1,0,0,0,2,18,3,0,0,0,0
유기치사,0,0,0,0,0,0,0,0,2,0,0,0,0
교통방해,0,6,23,0,0,0,0,17,35,0,4,0,0
공무방해,35,446,168,5,0,0,0,49,127,1,7,5,1
공무방해치상,4,2,0,0,0,0,0,1,0,0,0,0,0
도주와범인은닉,4,21,15,0,0,0,0,3,7,1,0,1,1
위증과증거인멸,17,74,53,0,0,0,0,2,221,0,8,10,1
무고,2,75,41,0,0,0,0,5,363,0,2,11,4
공안을해하는죄,1,10,0,0,0,0,0,0,21,0,1,11,0
음용수에관한죄,0,1,0,0,0,0,0,0,3,0,0,0,0
기타,0,0,1,0,0,0,0,2,1,0,0,1,0
가정폭력범죄의 처벌등에 관한특례법,0,0,2,0,1,0,0,1,2,0,2,0,0
가축분뇨의 관리 및 이용에 관한법률,0,0,4,0,0,0,0,0,0,0,0,0,0
감염병의 예방 및 관리에 관한법률,0,3,4,0,0,0,0,7,5,0,0,0,0
개발제한구역의 지정 및 관리에 관한 특별조치법,0,3,59,0,0,0,0,6,5,0,2,0,0
개인정보보호법,16,8,39,0,0,0,0,27,148,0,1,2,8
건강기능식품에 관한법률,0,3,59,0,0,0,0,36,8,0,1,2,0
건설기계관리법,0,0,6,0,0,0,0,1,10,0,1,0,0
건설산업기본법,3,42,268,0,0,0,0,7,44,0,8,2,2
건축법,0,0,92,0,0,0,0,35,40,0,7,0,0
게임산업진흥에 관한법률,9,48,201,1,0,0,0,223,99,0,6,10,3
결혼중개업의 관리에 관한법률,0,2,6,0,0,0,0,3,7,0,1,0,0
경범죄처벌법,0,1,210,0,0,0,0,87,43,2,8,13,0
