범죄분류,남_6세이하,남_12세이하,남_15세이하,남_20세이하,남_30세이하,남_40세이하,남_50세이하,남_60세이하,남_60세초과,남_미상,여_6세이하,여_12세이하,여_15세이하,여_20세이하,여_30세이하,여_40세이하,여_50세이하,여_60세이하,여_60세초과,여_미상
절도,3,748,1953,6203,22282,24149,23865,21548,15979,111,3,159,485,3106,12257,11299,13515,14116,10543,49
장물,0,3,4,22,51,57,92,61,25,3,0,0,1,20,39,21,21,14,13,0
사기,0,29,715,11411,37143,36666,38735,36274,21607,953,1,23,282,5884,16213,17356,22169,26499,12988,324
횡령,2,184,484,2557,7834,5550,5975,5674,4128,163,2,100,294,2139,6054,3364,3380,3273,2503,36
배임,0,0,0,1,25,184,493,694,629,63,0,0,1,0,15,60,165,239,177,10
손괴,0,20,64,627,5512,7596,8244,8520,6911,34,1,7,23,226,2154,3508,4934,5226,3065,7
살인,6,1,0,15,45,60,104,99,98,1,13,5,1,6,29,40,68,80,84,0
강도,1,3,9,36,90,80,59,59,77,5,0,1,1,30,98,44,57,80,55,2
방화,0,0,0,6,39,82,153,174,144,2,0,0,1,7,17,44,129,134,140,0
성폭력,23,156,120,327,679,294,241,155,61,23,134,1062,1299,5351,10860,3796,2554,1810,754,518
폭행,124,590,1649,7959,19104,12873,14233,16303,10566,126,62,197,870,3768,10191,11096,11496,9895,6123,14
상해,18,94,618,1883,4003,3277,4067,4451,3251,51,17,23,215,795,1931,2281,2672,2858,2107,12
협박,5,48,135,489,1664,2232,2070,1880,1332,14,1,58,172,556,1552,1972,2408,2150,1357,8
공갈,2,49,516,785,698,636,695,524,303,15,0,17,69,100,115,94,156,176,127,3
약취와 유인,27,26,9,5,0,1,0,0,3,0,24,61,20,25,23,6,4,5,2,0
체포와 감금,1,2,31,115,65,46,71,68,72,3,2,3,22,106,238,186,197,134,58,2
"폭력행위등(손괴,강요,주거침입등)",0,2,10,17,50,75,116,122,104,3,0,1,6,11,29,36,58,68,50,0
폭력행위 등(단체 등의 구성ㆍ활동),0,1,6,10,15,15,8,15,4,0,0,0,3,2,0,3,1,5,2,0
통화,0,0,0,0,17,35,48,46,16,0,0,0,0,1,17,41,37,27,26,1
유가증권ㆍ인지ㆍ우표,0,0,0,0,1,7,17,24,17,4,0,0,0,0,1,4,12,9,8,0
문서,1,0,2,173,577,636,1045,1341,1405,91,0,2,0,104,344,344,509,592,565,30
인장,0,1,0,1,7,15,39,23,42,3,0,0,0,0,2,7,14,17,7,0
직무유기,0,0,0,0,7,25,94,97,126,16,0,0,0,2,3,15,22,20,15,1
직권남용,0,0,1,1,29,58,107,142,117,14,0,0,0,1,2,13,27,29,18,2
수뢰,0,0,0,0,4,7,5,22,11,6,0,0,1,0,0,0,1,3,1,0
증뢰,0,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,0,0,1,0
도박과 복표,0,0,0,1,3,6,5,12,6,6,0,0,0,0,1,2,0,1,0,1
신앙,2,0,0,0,2,15,31,75,110,2,0,0,0,1,0,4,10,19,36,2
기타 음란행위,0,5,6,10,43,43,35,37,17,12,6,75,98,337,676,255,217,130,72,30
과실치사상,47,89,18,49,200,204,204,222,239,0,42,61,16,58,248,237,253,332,538,1
업무상 과실치사상,39,30,16,31,194,297,502,807,602,6,33,15,5,20,95,136,148,181,316,2
실화,0,0,0,2,61,183,324,442,413,14,0,0,0,3,27,53,102,147,167,1
명예,0,12,41,441,2989,2963,3133,3341,2782,105,0,13,106,793,2739,1722,2661,2072,1196,93
권리행사 방해,0,6,23,30,86,360,686,560,390,104,0,11,31,32,51,87,141,206,107,12
신용업무 경매,0,0,1,141,1434,2137,2836,3185,2125,52,1,0,1,171,743,1023,2187,3315,1394,9
주거 침입,1,6,21,134,931,1353,1635,1774,1366,9,2,15,43,476,2227,1606,1715,1708,1400,7
비밀침해,0,0,0,0,1,6,9,26,8,0,0,0,0,1,13,16,11,13,9,0
유기,90,10,4,1,3,0,4,8,14,2,67,4,1,4,2,4,4,0,17,1
