"죄종별(1)",죄종별(2),죄종별(3),2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),죄종별(3),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수 대비 검거건수 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),불상검거인원 (명),법인체 (개)
"총계",소계,소계,1611906,1342854,83.3,1749015,1273899,347112,128004,12620,1587866,1289129,81.2,1684367,1212094,329160,143113,11983,1429826,1136665,79.5,1360405,1002380,278825,79200,10317
"강력범죄",소계,소계,26476,25507,96.3,29462,27833,1333,296,2,24332,23556,96.8,27491,25862,1359,270,3,22476,21294,94.7,23305,22074,1095,136,1
"강력범죄",살인기수,소계,297,299,100.7,362,265,82,15,-,308,299,97.1,349,258,85,6,-,270,261,96.7,321,234,83,4,1
"강력범죄",살인기수,살인,225,226,100.4,257,206,48,3,-,252,245,97.2,284,213,65,6,-,204,196,96.1,245,187,54,4,1
"강력범죄",살인기수,영아살해,7,7,100.0,7,-,7,-,-,5,5,100.0,6,1,5,-,-,5,5,100.0,5,-,5,-,-
"강력범죄",살인기수,존속살해,35,36,102.9,45,28,10,7,-,28,27,96.4,35,27,8,-,-,26,27,103.8,27,24,3,-,-
"강력범죄",살인기수,촉탁·승낙살인,1,1,100.0,1,1,-,-,-,1,1,100.0,1,1,-,-,-,2,1,50.0,9,5,4,-,-
"강력범죄",살인기수,자살교사·방조,26,26,100.0,47,26,16,5,-,19,18,94.7,20,13,7,-,-,25,24,96.0,26,12,14,-,-
"강력범죄",살인기수,위계·위력·촉탁·승낙살인,1,1,100.0,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",살인기수,특가법(보복살인등),2,2,100.0,4,4,-,-,-,3,3,100.0,3,3,-,-,-,3,3,100.0,4,4,-,-,-
"강력범죄",살인기수,아동학대처벌법(아동학대살해),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,100.0,5,2,3,-,-
"강력범죄",살인미수등,소계,482,481,99.8,534,459,70,5,-,416,406,97.6,472,378,79,15,-,388,380,97.9,421,348,63,10,-
"강력범죄",살인미수등,살인,439,437,99.5,482,423,54,5,-,365,356,97.5,400,328,57,15,-,343,336,98.0,364,308,46,10,-
"강력범죄",살인미수등,영아살해,1,1,100.0,1,-,1,-,-,1,1,100.0,1,-,1,-,-,3,3,100.0,4,2,2,-,-
"강력범죄",살인미수등,존속살해,30,30,100.0,31,24,7,-,-,31,30,96.8,35,23,12,-,-,25,25,100.0,25,20,5,-,-
"강력범죄",살인미수등,촉탁·승낙살인,-,-,-,-,-,-,-,-,1,1,100.0,1,1,-,-,-,1,1,100.0,1,-,1,-,-
"강력범죄",살인미수등,자살교사·방조,10,11,110.0,18,11,7,-,-,18,18,100.0,35,26,9,-,-,16,15,93.8,27,18,9,-,-
"강력범죄",살인미수등,위계·위력·촉탁·승낙살인,2,2,100.0,2,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강력범죄",강도,소계,798,801,100.4,1376,1197,165,14,-,663,658,99.2,1258,1047,177,34,3,495,487,98.4,766,654,100,12,-
