"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일
"계",소계,1611906,185520,242481,241591,240590,241974,251352,208398,1587866,178396,240514,240631,237590,239912,248331,202492,1429826,155229,221260,218555,217179,217785,221779,178039
"강력범죄",소계,26476,4081,3519,3607,3634,3445,3880,4310,24332,3637,3320,3121,3402,3312,3644,3896,22476,3251,3267,2953,3119,3127,3228,3531
"강력범죄",살인기수,297,38,45,48,40,37,49,40,308,58,53,53,43,30,42,29,270,39,34,38,32,37,52,38
"강력범죄",살인미수등,482,71,70,68,62,73,85,53,416,57,68,50,60,62,51,68,388,53,64,56,55,48,59,53
"강력범죄",강도,798,111,113,116,105,124,121,108,663,77,118,98,103,105,84,78,495,84,53,68,72,66,88,64
"강력범죄",강간,5310,869,686,734,719,682,722,898,5313,909,699,667,712,701,760,865,5263,878,773,656,654,706,695,901
"강력범죄",유사강간,782,145,99,109,92,89,112,136,823,118,96,100,135,112,111,151,814,125,139,93,122,106,100,129
"강력범죄",강제추행,17120,2580,2272,2306,2358,2231,2542,2831,15344,2185,2068,1964,2152,2082,2390,2503,13962,1862,1994,1844,2025,1988,2071,2178
"강력범죄",기타 강간·강제추행등,325,58,53,45,49,39,43,38,237,32,38,25,36,28,31,47,238,46,37,41,28,35,27,24
"강력범죄",방화,1362,209,181,181,209,170,206,206,1228,201,180,164,161,192,175,155,1046,164,173,157,131,141,136,144
"절도범죄",소계,186957,25466,26239,25671,26061,26098,28156,29266,179517,23771,25196,25170,25538,24974,27311,27557,166409,21687,23429,23455,23743,23989,25209,24897
"폭력범죄",소계,287913,45295,38034,38553,38905,39086,41198,46842,265768,40886,34826,36106,36525,36065,38614,42746,232661,33800,32003,31961,31823,31739,34121,37214
"폭력범죄",상해,36858,5693,4908,5063,5038,5110,5270,5776,32904,4926,4431,4635,4488,4533,4785,5106,28453,3983,4025,3915,3988,3931,4165,4446
"폭력범죄",폭행,157197,25865,19966,20766,20981,21080,22045,26494,139361,22361,17420,18563,18976,18718,20075,23248,115942,17532,15392,15694,15691,15406,16925,19302
"폭력범죄",체포·감금,1243,180,189,170,171,169,196,168,1209,166,165,162,174,187,179,176,1165,164,183,180,170,176,155,137
"폭력범죄",협박,21022,2886,3013,3039,3072,2961,3040,3011,21214,2966,3060,3015,3065,2991,3101,3016,21058,2891,3019,3067,2940,3019,3116,3006
"폭력범죄",약취·유인,250,27,40,41,34,32,40,36,210,23,31,31,40,35,32,18,240,25,39,25,39,41,33,38
"폭력범죄",폭력행위등,8350,1544,1126,1100,1086,1001,1063,1430,7398,1317,975,931,1008,919,960,1288,6484,1020,907,847,839,857,901,1113
"폭력범죄",공갈,4847,483,818,740,757,744,756,549,5281,538,915,885,820,781,759,583,5131,552,877,844,789,780,722,567
"폭력범죄",손괴,58146,8617,7974,7634,7766,7989,8788,9378,58191,8589,7829,7884,7954,7901,8723,9311,54188,7633,7561,7389,7367,7529,8104,8605
