"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타,계,아파트 연립다세대,단독주택,고속도로,노상,백화점,슈퍼마켓,편의점,대형할인매장,상점,시장노점,숙박업소 목욕탕,유흥접객업소,사무실,공장,공사장광산,창고,역대합실,지하철,기타교통수단내,흥행장,유원지,학교,금융기관,의료기관,종교기관,산야,해상,부대,구금장소,공지,주차장,공중화장실,PC방,기타
"계",소계,1611906,96879,84895,7762,625533,4155,11221,14355,3341,33591,14809,21813,114046,108077,8295,7870,2446,9735,3957,19256,2200,7288,7179,19867,11979,3263,9878,20287,2266,111,339,26356,4529,6917,297411,1587866,100386,79936,7358,603582,3471,12751,14697,3691,31629,12757,18739,99040,99958,7895,6804,2135,8156,3088,15955,1534,6071,4375,12128,10612,2259,9871,25483,733,119,253,27839,3852,5310,345399,1429826,106001,71347,8152,551630,2808,12965,15489,3912,30962,11232,17344,60838,77461,7105,5598,2041,8538,2946,14245,1261,5824,4983,6734,9144,1818,9579,16450,349,128,210,26553,3154,3652,329373
"강력범죄",소계,26476,3892,2725,18,3932,28,105,360,24,494,273,3082,4233,590,83,26,25,432,879,1470,115,301,384,18,397,87,93,7,14,12,7,225,168,73,1904,24332,3892,2710,11,3470,28,122,364,16,493,276,2861,3858,666,62,30,27,303,507,1344,97,240,224,27,396,73,59,12,18,13,2,233,143,61,1694,22476,4212,2707,21,3170,23,132,273,17,477,197,2810,2157,721,91,23,29,328,605,1093,95,244,286,13,438,52,64,8,13,8,3,188,134,38,1806
"강력범죄",살인기수,297,111,64,-,30,-,-,-,-,5,-,17,11,4,1,-,-,1,-,3,-,-,-,-,18,-,11,2,-,-,1,4,-,1,13,308,111,80,-,42,-,-,-,-,2,2,7,6,7,2,1,1,-,-,5,-,1,-,1,8,3,5,-,-,-,1,2,1,-,20,270,92,57,1,43,-,-,-,-,-,-,19,5,5,3,2,-,-,-,7,-,1,-,-,10,-,2,1,-,-,-,2,-,1,19
"강력범죄",살인미수등,482,116,110,-,114,-,-,3,-,1,1,10,38,9,4,1,-,2,-,8,-,9,1,-,7,1,6,1,-,-,-,13,-,2,25,416,99,92,-,96,-,1,1,1,6,3,10,30,16,1,-,-,1,-,2,-,3,-,-,8,1,2,3,-,-,-,11,1,-,28,388,116,67,1,87,-,3,3,-,3,1,11,28,11,2,3,-,1,-,1,-,1,1,-,9,1,2,-,-,-,-,7,1,-,28
"강력범죄",강도,798,106,89,1,221,-,10,73,3,29,8,79,53,21,1,-,3,4,1,13,-,7,-,4,6,1,7,-,-,-,-,9,1,5,43,663,77,54,1,164,1,17,68,1,28,15,63,61,19,-,2,1,1,-,19,-,6,1,2,1,1,4,-,-,-,-,19,-,3,34,495,78,47,1,114,2,10,39,3,32,3,47,27,15,2,-,1,2,-,8,-,3,1,2,3,1,4,-,-,-,-,10,3,1,36
"강력범죄",강간,5310,1432,999,-,158,1,1,7,-,27,21,1687,297,42,5,2,4,-,-,135,4,25,16,-,15,14,8,-,1,-,1,37,59,2,310,5313,1516,958,3,157,-,-,5,-,42,15,1690,256,58,2,-,4,2,1,146,7,15,12,-,18,10,12,1,-,-,-,37,44,3,299,5263,1561,976,2,127,-,-,1,-,33,15,1692,158,41,2,1,5,1,-,136,2,17,16,-,15,8,8,-,1,-,1,20,43,4,377
"강력범죄",유사강간,782,209,134,-,45,1,1,-,-,7,5,153,81,11,1,-,-,1,-,20,1,6,14,-,10,-,1,-,1,3,-,6,19,1,51,823,229,131,-,43,-,-,3,-,11,4,179,55,12,1,-,2,-,-,43,-,9,6,-,10,2,1,-,1,2,-,7,8,-,64,814,247,147,-,36,-,-,2,-,10,6,170,38,9,1,-,1,-,-,32,-,10,8,-,12,2,1,-,-,1,-,11,9,1,60
"강력범죄",강제추행,17120,1477,934,17,3108,25,92,275,19,399,210,1039,3682,456,52,17,11,420,876,1285,107,239,338,12,327,61,27,3,12,9,-,114,70,59,1348,15344,1492,1012,7,2772,25,101,283,14,384,205,827,3383,507,43,17,11,296,505,1123,90,193,190,19,338,43,21,6,17,11,1,121,76,53,1158,13962,1761,1096,16,2602,21,117,226,14,378,153,803,1865,608,64,11,10,321,604,904,93,191,251,10,376,31,30,2,12,7,2,98,66,31,1188
