"죄종별(1)",죄종별(2),2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외,계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외,계,서울,부산,대구,인천,광주,대전,울산,세종,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,경기도,강원도,강원도,강원도,강원도,강원도,강원도,강원도,충청북도,충청북도,충청북도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,충청남도,전라북도,전라북도,전라북도,전라북도,전라북도,전라북도,전라남도,전라남도,전라남도,전라남도,전라남도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상북도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,경상남도,제주특별자치도,제주특별자치도,기타도시,도시이외
"죄종별(1)",죄종별(2),소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,고양시,과천시,광명시,광주시,구리시,군포시,김포시,남양주시,동두천시,부천시,성남시,수원시,시흥시,안산시,안성시,안양시,양주시,여주시,오산시,용인시,의왕시,의정부시,이천시,파주시,평택시,포천시,하남시,화성시,강릉시,동해시,삼척시,속초시,원주시,춘천시,태백시,제천시,청주시,충주시,계룡시,공주시,논산시,당진시,보령시,서산시,아산시,천안시,군산시,김제시,남원시,익산시,전주시,정읍시,광양시,나주시,목포시,순천시,여수시,경산시,경주시,구미시,김천시,문경시,상주시,안동시,영주시,영천시,포항시,거제시,김해시,밀양시,사천시,양산시,진주시,창원시,통영시,서귀포시,제주시,소계,소계
"계",소계,1611906,305909,119267,75707,93347,44102,45047,34128,6095,27903,1679,8557,9777,6983,5554,11182,15521,3142,28107,28066,41697,17456,25123,6313,14768,6295,3697,7266,21538,3114,14283,7790,11957,23500,6260,5898,21734,6861,2248,1958,3008,11355,8129,1365,3683,25900,6293,537,3006,3258,5032,3443,5080,9106,21797,11451,2199,1997,8103,17187,2793,4165,2913,9355,8336,13056,7296,9229,13156,3996,1777,2479,4641,2467,3149,16210,7542,18220,3017,3808,10519,9107,30027,7163,7483,20111,12632,105501,1587866,290816,120095,72171,91257,43179,44426,31834,6251,27043,1221,8080,10860,5732,5280,12388,14813,2975,28212,27066,40659,17726,26263,6513,14135,6486,3752,7391,21502,2975,14351,7454,11544,25466,5489,6815,21374,6220,2648,2130,3029,10716,8392,1162,3739,25572,6155,500,2702,3516,4895,3024,6115,9122,21344,10933,2014,2028,7853,17926,2920,4592,2905,8551,8053,12274,6803,8324,12755,4076,1481,2323,4843,2250,3070,16132,8121,18004,2797,3731,9915,10146,30522,5572,8168,20484,19592,104133,1429826,252289,105737,67795,80589,39203,39711,31015,5921,24320,1116,7263,10281,4801,5234,12646,13855,2564,25515,23681,34060,17008,23104,6153,12118,5627,3272,6877,20437,2600,12812,6781,11022,24111,4499,6335,19875,7202,1973,1810,2791,9592,7449,1142,3104,23269,5531,428,2602,2804,4456,2921,4534,7892,18630,10562,1493,1801,7248,15956,2866,4018,2734,9362,7376,9036,6332,6884,11442,3364,1349,2055,3892,2113,2758,15169,6623,16723,2582,5440,9699,9228,26824,5100,7038,18865,21704,93833
"강력범죄",소계,26476,6977,1716,1095,1749,753,802,516,68,381,20,137,102,118,92,134,241,65,497,436,629,260,416,86,234,82,75,133,300,36,256,118,159,246,87,67,243,121,39,28,38,197,118,31,69,418,90,8,44,46,74,66,81,142,328,149,30,35,119,347,49,61,57,182,135,101,123,111,176,57,37,44,64,40,53,191,95,182,42,37,111,125,413,58,118,358,50,1462,24332,6246,1593,917,1524,629,732,502,91,341,19,119,87,87,99,143,202,62,469,415,620,273,396,93,250,94,65,112,230,37,245,123,130,273,81,68,243,131,41,24,39,135,109,24,60,389,93,10,51,37,72,51,77,118,342,120,34,31,96,305,44,59,46,138,114,143,115,109,149,48,24,35,69,43,36,193,110,172,41,42,127,148,386,66,103,347,43,1383,22476,5337,1481,925,1439,587,714,480,84,311,19,96,114,62,74,156,183,42,362,406,565,255,371,88,208,78,55,109,286,28,210,87,126,294,57,69,276,101,40,30,36,111,118,17,53,309,81,11,48,49,53,51,94,113,310,96,35,30,112,276,39,48,43,172,120,131,126,98,168,55,18,26,73,36,38,219,102,178,33,41,108,114,383,48,115,336,39,1361
"강력범죄",살인기수,297,45,22,14,20,11,7,10,2,5,-,1,-,1,1,6,6,1,5,2,5,1,2,3,1,3,-,3,3,1,3,1,-,3,2,-,3,1,-,-,3,1,-,-,-,4,1,-,-,3,2,-,-,2,3,3,-,2,8,4,1,-,1,-,1,2,2,2,3,-,1,-,1,-,1,3,2,2,1,-,1,2,8,-,1,7,1,24,308,50,21,15,12,7,9,6,4,4,-,1,3,-,3,2,1,1,5,5,10,5,3,2,1,2,2,1,3,-,5,-,5,6,-,-,4,-,1,1,1,4,5,-,1,1,2,1,-,1,-,-,-,2,2,2,1,1,2,4,2,2,3,-,2,3,1,1,-,-,-,1,2,1,1,3,2,7,-,2,4,4,4,-,3,5,4,21,270,47,15,11,21,5,11,8,1,6,-,1,1,1,-,1,3,-,3,5,5,-,4,-,1,-,-,1,2,-,-,1,3,3,4,-,2,3,1,-,-,2,-,-,1,5,1,-,2,-,1,1,-,1,2,1,1,1,3,4,3,-,2,1,2,3,-,1,3,2,-,-,-,1,-,4,2,2,1,2,1,3,3,1,2,4,2,29
"강력범죄",살인미수등,482,89,42,27,28,5,11,9,1,6,1,-,1,-,3,4,8,1,10,2,11,2,8,2,4,2,-,-,6,-,2,1,5,5,8,-,11,2,1,-,-,-,5,-,3,10,4,-,-,4,3,1,1,5,10,2,1,1,3,8,-,1,2,3,3,-,1,1,2,2,-,2,1,2,-,2,2,-,2,3,3,2,10,3,3,9,2,42,416,88,30,13,25,3,9,6,4,2,-,2,1,1,-,-,4,-,6,7,5,8,8,4,3,3,2,1,4,1,5,1,3,5,1,-,4,2,1,1,-,1,1,2,2,3,2,-,1,3,3,2,2,5,6,1,3,2,2,4,2,-,-,-,2,4,-,1,4,1,-,-,2,-,2,4,7,6,-,6,2,1,13,-,2,4,1,44,388,76,30,13,21,4,8,7,3,7,-,-,8,1,1,3,4,-,7,8,10,4,7,2,4,2,1,3,6,-,2,-,6,9,1,1,5,1,-,1,3,1,-,1,2,2,-,1,-,-,2,-,1,5,9,1,1,1,2,4,-,-,2,2,2,3,3,2,4,1,-,-,1,-,-,2,5,2,-,1,2,3,8,-,1,11,1,30
"강력범죄",강도,798,133,81,31,60,27,25,27,-,8,-,5,5,3,2,1,7,1,12,13,19,15,13,5,7,1,13,7,7,-,4,1,4,12,4,1,7,4,2,-,2,8,3,4,4,22,2,-,3,-,1,-,1,12,13,7,-,2,2,10,1,-,4,8,1,3,3,5,4,2,-,-,1,2,3,4,2,9,-,-,6,3,10,4,7,14,5,34,663,141,38,33,45,24,14,14,2,10,-,4,-,2,3,7,8,5,16,15,9,6,16,4,5,4,2,1,6,-,7,1,4,12,1,2,4,8,-,1,2,7,1,-,3,9,3,1,-,-,3,2,1,15,14,2,-,4,-,9,1,1,2,5,-,4,-,1,5,-,-,1,1,1,-,6,-,4,-,-,7,8,16,2,3,11,1,33,495,122,51,23,34,13,9,10,1,2,-,-,-,1,-,7,5,1,6,11,7,2,6,2,4,2,-,-,7,-,6,-,2,6,1,-,9,6,-,1,1,-,2,-,2,6,2,-,2,1,1,1,1,2,10,3,1,-,2,8,1,-,-,2,1,1,1,2,3,4,-,-,1,1,1,4,1,8,-,-,4,11,5,-,4,8,1,29
"강력범죄",강간,5310,1254,297,215,327,185,173,106,12,75,-,24,18,19,20,28,37,13,92,92,140,69,90,15,39,13,11,22,55,3,57,20,39,37,16,12,47,23,10,9,12,51,17,9,8,83,17,4,7,15,21,23,18,21,83,25,5,6,25,84,10,14,17,45,31,20,36,27,51,17,9,10,12,11,10,51,22,36,12,9,25,28,92,8,16,83,15,345,5313,1279,306,213,338,158,180,103,27,81,4,21,23,17,23,33,40,16,81,79,144,63,87,18,54,23,14,30,46,8,55,24,27,64,19,9,56,28,11,4,8,34,16,9,13,98,24,1,21,10,18,14,15,20,86,21,8,9,24,58,12,11,8,38,25,30,32,20,34,19,9,13,12,11,7,52,21,40,11,9,29,37,93,13,18,77,21,298,5263,1134,321,220,345,148,164,120,22,67,4,27,34,16,21,34,37,14,75,93,151,62,113,17,52,18,30,28,48,7,51,20,30,66,18,15,54,19,13,9,9,27,29,2,12,96,27,4,13,9,14,19,23,35,74,21,5,6,24,60,9,14,17,41,46,35,31,30,49,13,7,10,20,7,11,62,20,40,7,11,17,23,87,7,23,89,13,298
"강력범죄",유사강간,782,171,48,39,46,24,30,22,1,9,-,6,3,1,5,3,3,-,11,8,23,10,16,2,7,2,1,6,11,3,9,4,9,7,3,3,9,4,-,2,-,11,5,2,6,10,3,1,4,-,-,2,1,3,7,1,3,-,2,8,1,3,2,6,3,1,8,2,7,2,2,2,2,-,1,5,5,8,1,-,4,8,11,2,4,3,2,57,823,197,63,28,45,19,25,18,2,12,-,5,7,3,7,3,6,1,15,8,16,14,17,2,9,-,1,1,8,2,12,-,5,11,1,5,13,1,-,1,-,2,9,1,3,6,5,1,3,1,1,3,4,4,7,11,1,-,2,11,-,-,2,6,7,7,4,3,12,1,-,1,1,2,3,6,9,5,-,4,4,7,8,1,3,15,1,53,814,180,55,33,56,24,27,18,4,11,-,1,3,4,4,2,5,2,14,10,30,8,12,1,5,1,-,4,11,1,13,1,4,9,2,4,8,6,-,4,1,4,6,1,-,12,1,-,4,3,-,1,3,2,9,5,-,1,3,8,3,6,1,2,4,10,5,2,9,5,1,3,1,1,2,7,10,8,-,3,2,3,13,5,7,12,-,48
