기준연도,기관유형명,성희롱예방교육실시율,성매매예방교육실시율,성폭력예방교육실시율,가정폭력예방교육실시율,데이터기준일자
2018,1.국가기관,100,99.9,100,99.9,2022-07-28
2018,2.지방자치단체,99.5,99.3,99.5,99.2,2022-07-28
2018,3.공직유관단체,99.9,99.6,99.7,99.5,2022-07-28
2018,4.각급학교,99.9,99.9,99.9,99.9,2022-07-28
2019,1.국가기관,99.9,99.9,99.8,99.9,2022-07-28
2019,2.지방자치단체,99.4,98.8,99,98.7,2022-07-28
2019,3.공직유관단체,99.9,99.4,99.6,99.4,2022-07-28
2019,4.각급학교,99.9,99.9,99.9,99.9,2022-07-28
2020,1.국가기관,100,99.9,99.9,99.9,2022-07-28
2020,2.지방자치단체,99.5,99,99.5,99,2022-07-28
2020,3.공직유관단체,99.8,99.5,99.7,99.5,2022-07-28
2020,4.각급학교,99.9,99.9,99.9,99.8,2022-07-28
