"구분별(1)",구분별(2),구분별(3),2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.3/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4
"구분별(1)",구분별(2),구분별(3),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개)
"총범죄",소계,소계,68472,51860,75.7,70429,546,70684,48085,68.0,70260,541,60379,40725,67.4,61163,470,71937,50952,70.8,74672,557,73501,51402,69.9,71424,535,74657,49633,66.5,70026,502
"형법범",소계,소계,44888,30464,67.9,42704,58,48669,29290,60.2,41241,53,42005,25405,60.5,36469,41,49732,32168,64.7,43667,49,52051,32917,63.2,44018,64,53413,30962,58.0,43878,51
"형법범",강력범,소계,1578,1445,91.6,1611,-,1509,1302,86.3,1440,-,1236,1099,88.9,1196,0,1583,1469,92.8,1592,0,1810,1632,90.2,1778,0,1714,1552,90.5,1679,0
"형법범",강력범,살인,42,38,90.5,44,-,34,28,82.4,43,-,24,17,70.8,19,0,29,26,89.7,32,0,33,28,84.8,27,0,29,27,93.1,28,0
"형법범",강력범,강도,39,38,97.4,53,-,27,25,92.6,41,-,27,23,85.2,40,0,35,28,80.0,42,0,36,38,105.6,62,0,24,24,100.0,46,0
"형법범",강력범,강간·강제추행,1457,1336,91.7,1476,-,1403,1206,86.0,1310,-,1134,1018,89.8,1093,0,1449,1351,93.2,1447,0,1700,1531,90.1,1650,0,1606,1450,90.3,1555,0
"형법범",강력범,방화,40,33,82.5,38,-,45,43,95.6,46,-,51,41,80.4,44,0,70,64,91.4,71,0,41,35,85.4,39,0,55,51,92.7,50,0
"형법범",절도범,소계,8748,5080,58.1,4812,-,9371,4649,49.6,4575,-,7801,3887,49.8,3921,0,9368,5489,58.6,5356,1,9659,5548,57.4,5344,2,10911,5301,48.6,5265,1
"형법범",폭력범,소계,11148,9426,84.6,12574,-,11584,9725,84.0,12974,-,10245,8489,82.9,11674,2,12338,10514,85.2,14229,1,12110,10232,84.5,13488,0,12217,10114,82.8,13716,1
"형법범",폭력범,공갈,271,129,47.6,235,-,283,99,35.0,249,-,304,99,32.6,254,0,271,105,38.7,205,0,288,93,32.3,204,0,307,113,36.8,235,0
"형법범",폭력범,손괴,2484,1465,59.0,1646,-,2602,1546,59.4,1707,-,2208,1245,56.4,1438,1,2639,1610,61.0,1819,1,2731,1647,60.3,1861,0,2713,1483,54.7,1662,1
"형법범",폭력범,상해,810,782,96.5,1005,-,830,768,92.5,976,-,799,746,93.4,1001,0,885,847,95.7,1131,0,831,810,97.5,1017,0,855,800,93.6,1055,0
"형법범",폭력범,폭행,6217,5788,93.1,7587,-,6490,6066,93.5,8087,-,5668,5250,92.6,7082,1,7132,6649,93.2,8898,0,6817,6373,93.5,8357,0,6913,6407,92.7,8441,0
"형법범",폭력범,체포·감금,66,59,89.4,113,-,68,58,85.3,83,-,68,64,94.1,97,0,63,51,81.0,83,0,64,58,90.6,96,0,46,38,82.6,58,0
"형법범",폭력범,협박,1036,959,92.6,1128,-,1060,965,91.0,1093,-,944,857,90.8,994,0,1040,968,93.1,1091,0,1096,1001,91.3,1134,0,1075,995,92.6,1124,0
"형법범",폭력범,약취·유인,21,12,57.1,32,-,8,7,87.5,16,-,13,10,76.9,13,0,20,16,80.0,28,0,24,18,75.0,20,0,17,21,123.5,28,0
"형법범",폭력범,폭력행위등,243,232,95.5,828,-,243,216,88.9,763,-,241,218,90.5,795,0,288,268,93.1,974,0,259,232,89.6,799,0,291,257,88.3,1113,0
"형법범",지능범,소계,17425,9698,55.7,16096,51,19407,9137,47.1,15199,43,17525,8282,47.3,13544,35,20135,10348,51.4,15784,42,21054,10579,50.2,16077,54,20302,9530,46.9,15765,39
"형법범",지능범,사기,13003,7597,58.4,12753,42,14577,7124,48.9,12034,30,13023,6376,49.0,10632,23,15287,8246,53.9,12512,32,15340,8309,54.2,12790,41,14592,7317,50.1,12469,31
"형법범",지능범,횡령,3547,1522,42.9,1980,3,3758,1469,39.1,1890,3,3539,1393,39.4,1790,4,3732,1531,41.0,1852,6,4676,1740,37.2,2090,4,4733,1693,35.8,2049,3
"형법범",지능범,배임,221,191,86.4,390,1,212,155,73.1,345,2,206,141,68.4,312,2,239,162,67.8,425,0,204,163,79.9,357,3,206,160,77.7,349,2
"형법범",지능범,직무유기,49,12,24.5,73,1,101,11,10.9,70,-,81,17,21.0,67,0,109,10,9.2,85,0,101,5,5.0,42,0,90,4,4.4,69,0
"형법범",지능범,직권남용,50,12,24.0,63,-,105,17,16.2,128,-,90,11,12.2,83,0,95,20,21.1,91,0,115,14,12.2,136,0,103,17,16.5,133,0
"형법범",지능범,증수뢰,16,12,75.0,35,-,9,11,122.2,46,-,9,7,77.8,13,1,17,10,58.8,39,0,18,12,66.7,28,1,12,14,116.7,37,0
"형법범",지능범,통화,34,4,11.8,35,-,38,2,5.3,33,-,41,1,2.4,35,0,52,4,7.7,50,0,43,1,2.3,39,0,45,1,2.2,32,0
"형법범",지능범,유가증권인지,6,5,83.3,16,-,8,4,50.0,7,-,2,1,50.0,14,0,11,7,63.6,13,0,9,4,44.4,8,0,6,6,100.0,10,0
