"구분별(1)",구분별(2),구분별(3),2021.4/4,2021.4/4,2021.4/4,2021.4/4,2021.4/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.1/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.2/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.3/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4,2022.4/4
"구분별(1)",구분별(2),구분별(3),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개),발생건수 (건),검거건수 (건),발생건수대비검거건수 (%),검거인원 (명),법인체 (개)
"총범죄",소계,소계,377324,276225,73.2,356221,2677,322346,232994,72.3,306479,2459,367412,284503,77.4,355190,2790,376372,291502,77.5,348795,2919,375493,278629,74.2,345441,3064
"형법범",소계,소계,249275,160251,64.3,206556,146,218283,140551,64.4,182237,130,246279,174181,70.7,208725,142,254793,179974,70.6,212108,166,253614,166845,65.8,208732,150
"형법범",강력범,소계,6504,5773,88.8,6309,1,5590,5158,92.3,5613,0,6239,5868,94.1,6345,0,6920,6430,92.9,6996,0,6542,6054,92.5,6519,0
"형법범",강력범,살인,174,160,92.0,202,1,181,169,93.4,197,0,173,158,91.3,182,0,189,182,96.3,183,0,168,159,94.6,167,0
"형법범",강력범,강도,114,113,99.1,198,-,123,119,96.7,182,0,138,128,92.8,197,0,147,150,102.0,252,0,116,113,97.4,183,0
"형법범",강력범,강간·강제추행,5958,5260,88.3,5680,-,4979,4603,92.4,4949,0,5581,5267,94.4,5624,0,6303,5838,92.6,6286,0,5957,5514,92.6,5908,0
"형법범",강력범,방화,258,240,93.0,229,-,307,267,87.0,285,0,347,315,90.8,342,0,281,260,92.5,275,0,301,268,89.0,261,0
"형법범",절도범,소계,47164,25453,54.0,22647,-,38881,22544,58.0,20026,0,46413,31826,68.6,25806,2,46672,31328,67.1,26230,2,52403,28242,53.9,25373,2
"형법범",폭력범,소계,63278,53109,83.9,71495,4,54969,46411,84.4,63367,4,62219,54146,87.0,72544,5,64628,55548,86.0,73194,3,63638,53142,83.5,70929,4
"형법범",폭력범,공갈,1629,653,40.1,1177,-,1891,599,31.7,1311,0,1553,561,36.1,1034,1,1704,572,33.6,1048,0,1812,603,33.3,1027,0
"형법범",폭력범,손괴,15073,8713,57.8,9621,3,12680,7569,59.7,8420,3,14016,9125,65.1,9853,3,14821,9219,62.2,10012,2,15346,8625,56.2,9462,3
"형법범",폭력범,상해,7335,7008,95.5,9266,-,6077,5852,96.3,7716,0,7047,6834,97.0,8799,0,7152,6972,97.5,8862,0,6561,6329,96.5,8254,0
"형법범",폭력범,폭행,31367,29546,94.2,39548,-,27359,25867,94.5,35031,1,32066,30503,95.1,40551,0,33341,31625,94.9,41497,0,32420,30568,94.3,40597,0
"형법범",폭력범,체포·감금,330,289,87.6,441,-,321,288,89.7,398,0,280,255,91.1,378,0,284,268,94.4,374,0,262,224,85.5,336,1
"형법범",폭력범,협박,5849,5323,91.0,6036,-,5019,4707,93.8,5349,0,5331,5028,94.3,5695,0,5561,5230,94.0,5837,1,5507,5169,93.9,5800,0
"형법범",폭력범,약취·유인,49,42,85.7,57,-,47,43,91.5,59,0,69,63,91.3,87,0,82,64,78.0,80,0,82,78,95.1,104,0
"형법범",폭력범,폭력행위등,1646,1535,93.3,5349,1,1575,1486,94.3,5083,0,1857,1777,95.7,6147,1,1683,1598,94.9,5484,0,1648,1546,93.8,5349,0
"형법범",지능범,소계,102526,53651,52.3,72725,114,94259,47598,50.5,64280,99,103954,60741,58.4,72644,108,106880,63329,59.3,72199,136,101145,56948,56.3,72345,119
"형법범",지능범,사기,82703,44455,53.8,58927,77,76446,39107,51.2,51525,67,85176,51459,60.4,58785,75,85735,53714,62.7,58050,98,79485,47286,59.5,57811,92
