"연령별(1)",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"합계",349662,247382,381976,392817,401016,408076,436631,447013,439994,457653,407100,403694,482257,448239,468925,478827,507105,544313,437824,429363,410864,413079,398304,393805,388131,358504,350415,346844,326222,263638
"14세미만",411,539,629,375,318,276,282,222,231,293,406,365,425,451,607,779,968,465,65,53,100,54,20,37,5,21,28,5,8,6
"14∼19",22500,21712,34138,31814,34976,34633,33450,31039,33057,30048,25728,21301,19705,20703,22697,27448,29029,28224,23050,20549,24456,21245,18916,18420,16861,15956,14475,14232,12736,9965
"20∼25",52827,37366,50046,52692,38129,46958,46844,46115,46755,52227,49856,45435,46479,38152,38107,39002,38846,39828,29896,27809,27625,29564,29144,31228,31678,30299,28267,27337,25102,21498
"26∼30",68186,41427,70206,67297,76318,64344,65415,63540,64055,67939,58840,55026,62748,53563,55021,58433,62921,70514,50701,45497,40996,40740,36083,34101,33928,30921,28899,29512,27657,23935
"31~35",65534,45065,66338,66436,65074,63021,64058,63238,61736,64045,56772,57069,64097,57634,58275,56959,58053,63091,46586,46331,42383,44088,40924,39370,39470,33245,28894,26815,24384,20997
"36~40",48368,35385,56821,62777,65175,68466,74394,74236,68884,69139,57815,56450,63967,60110,62858,63384,65608,70393,52841,48837,42899,41445,37204,34992,36364,32896,31882,31157,28514,22749
"41∼50",60537,42195,66659,73513,81245,87752,101539,107647,106464,112087,101979,107291,128432,124512,129051,128300,132401,140220,114755,108926,99281,96714,90552,85482,82931,73217,68684,65701,58614,47349
"51∼60",23267,18087,27897,30812,32235,34230,40169,45135,43956,44841,39899,42057,52745,54797,60294,64603,70728,79823,73909,78959,77556,78938,79121,77881,78359,72607,71184,69324,63765,49869
"61∼70",8032,5606,5999,6755,6901,6475,8049,10032,10366,11150,10969,12132,15812,17307,18016,19484,21186,24836,23252,24761,23795,25425,27008,28272,31581,32496,34982,36436,35782,31064
"71세이상",-,-,-,-,-,1060,1163,1520,1655,1644,1450,1515,3814,4761,6496,6797,7167,6633,7189,9142,5811,6682,8006,8729,10241,10642,12624,14324,14779,12771
"미상",-,-,3243,346,645,861,1268,4289,2835,4240,3386,5053,24033,16249,17503,13638,20198,20286,15580,18499,25962,28184,31326,35293,26713,26204,30496,32001,34881,23435
