"연령별",2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992
"합계",263638,326222,346844,350415,358504,388131,393805,398304,413079,410864,429363,437824,544313,507105,478827,468925,448239,482257,403694,407100,457653,439994,447013,436631,408076,401016,392817,381976,247382,349662
"14세미만",6,8,5,28,21,5,37,20,54,100,53,65,465,968,779,607,451,425,365,406,293,231,222,282,276,318,375,629,539,411
"14∼19",9965,12736,14232,14475,15956,16861,18420,18916,21245,24456,20549,23050,28224,29029,27448,22697,20703,19705,21301,25728,30048,33057,31039,33450,34633,34976,31814,34138,21712,22500
"20∼25",21498,25102,27337,28267,30299,31678,31228,29144,29564,27625,27809,29896,39828,38846,39002,38107,38152,46479,45435,49856,52227,46755,46115,46844,46958,38129,52692,50046,37366,52827
"26∼30",23935,27657,29512,28899,30921,33928,34101,36083,40740,40996,45497,50701,70514,62921,58433,55021,53563,62748,55026,58840,67939,64055,63540,65415,64344,76318,67297,70206,41427,68186
"31~35",20997,24384,26815,28894,33245,39470,39370,40924,44088,42383,46331,46586,63091,58053,56959,58275,57634,64097,57069,56772,64045,61736,63238,64058,63021,65074,66436,66338,45065,65534
"36~40",22749,28514,31157,31882,32896,36364,34992,37204,41445,42899,48837,52841,70393,65608,63384,62858,60110,63967,56450,57815,69139,68884,74236,74394,68466,65175,62777,56821,35385,48368
"41∼50",47349,58614,65701,68684,73217,82931,85482,90552,96714,99281,108926,114755,140220,132401,128300,129051,124512,128432,107291,101979,112087,106464,107647,101539,87752,81245,73513,66659,42195,60537
"51∼60",49869,63765,69324,71184,72607,78359,77881,79121,78938,77556,78959,73909,79823,70728,64603,60294,54797,52745,42057,39899,44841,43956,45135,40169,34230,32235,30812,27897,18087,23267
"61∼70",31064,35782,36436,34982,32496,31581,28272,27008,25425,23795,24761,23252,24836,21186,19484,18016,17307,15812,12132,10969,11150,10366,10032,8049,6475,6901,6755,5999,5606,8032
"71세이상",12771,14779,14324,12624,10642,10241,8729,8006,6682,5811,9142,7189,6633,7167,6797,6496,4761,3814,1515,1450,1644,1655,1520,1163,1060,-,-,-,-,-
"미상",23435,34881,32001,30496,26204,26713,35293,31326,28184,25962,18499,15580,20286,20198,13638,17503,16249,24033,5053,3386,4240,2835,4289,1268,861,645,346,3243,-,-
   
